Planeta,Zonas Estables,Zonas Inestables,Zonas Colisión m2,Área Estable (km²),Área Inestable (km²),Área Colisión m2 (km²)
DMPP-1 b,149,9829,22,1080000000000.0,71300000000000.0,160000000000.0
DMPP-1 c,120,9863,17,407000000000.0,33400000000000.0,57600000000.0
DMPP-1 d,89,9887,24,63600000000.0,7060000000000.0,17100000000.0
DMPP-1 e,89,9888,23,135000000000.0,15000000000000.0,34900000000.0
DMPP-2 b,447,9542,11,705000000000.0,15100000000000.0,17400000000.0
DMPP-2 c,246,9739,15,202000000000.0,8000000000000.0,12300000000.0
DMPP-2 d,328,9660,12,2410000000000.0,70900000000000.0,88100000000.0
HAT-P-2 b,830,9167,3,1380000000000.0,15200000000000.0,4990000000.0
HD 106315 b,137,9844,19,404000000000.0,29000000000000.0,56000000000.0
HD 106315 c,149,9830,21,1260000000000.0,83000000000000.0,177000000000.0
HD 113337 b,895,9103,2,335000000000000.0,3400000000000000.0,748000000000.0
HD 13908 b,588,9406,6,4990000000000.0,79900000000000.0,51000000000.0
HD 13908 c,923,9075,2,1360000000000000.0,1.34e+16,2950000000000.0
HD 142 A d,336,9652,12,27000000000000.0,777000000000000.0,965000000000.0
HD 142 b,1005,8990,5,388000000000000.0,3480000000000000.0,1930000000000.0
HD 142 c,432,9561,7,1.49e+16,3.3e+17,241000000000000.0
HD 148164 b,707,9291,2,250000000000000.0,3280000000000000.0,706000000000.0
HD 148164 c,956,9042,2,1.29e+16,1.22e+17,27100000000000.0
HD 169830 b,878,9120,2,184000000000000.0,1910000000000000.0,419000000000.0
HD 169830 c,763,9233,4,2580000000000000.0,3.13e+16,13500000000000.0
HD 206893 c,908,9089,3,4550000000000000.0,4.55e+16,15000000000000.0
HD 217786 b,867,9127,6,1860000000000000.0,1.96e+16,12900000000000.0
HD 217786 c,104,9875,21,53800000000.0,5110000000000.0,10900000000.0
HD 22946 d,201,9791,8,6300000000000.0,307000000000000.0,251000000000.0
HD 23079 b,892,9107,1,818000000000000.0,8350000000000000.0,917000000000.0
HD 28109 b,98,9886,16,646000000000.0,65200000000000.0,106000000000.0
HD 28109 c,111,9874,15,3770000000000.0,335000000000000.0,510000000000.0
HD 28109 d,96,9888,16,5810000000000.0,598000000000000.0,968000000000.0
HD 5278 b,108,9875,17,559000000000.0,51100000000000.0,88000000000.0
HD 5278 c,165,9824,11,3450000000000.0,205000000000000.0,230000000000.0
HD 60532 b,606,9389,5,129000000000000.0,1990000000000000.0,1060000000000.0
HD 60532 c,843,9156,1,773000000000000.0,8390000000000000.0,917000000000.0
HD 62364 b,502,9490,8,6800000000000000.0,1.29e+17,108000000000000.0
HD 67087 b,889,9110,1,371000000000000.0,3800000000000000.0,418000000000.0
HD 67087 c,947,9048,5,5050000000000000.0,4.83e+16,26700000000000.0
HD 73344 b,118,9864,18,725000000000.0,60600000000000.0,111000000000.0
HD 73344 c,408,9585,7,16800000000000.0,394000000000000.0,288000000000.0
HD 73344 d,890,9108,2,1.43e+16,1.46e+17,32100000000000.0
HD 75898 b,865,9132,3,448000000000000.0,4730000000000000.0,1550000000000.0
HD 75898 c,762,9234,4,1.49e+16,1.81e+17,78200000000000.0
HIP 41378 b,110,9874,16,669000000000.0,60000000000000.0,97300000000.0
HIP 41378 c,99,9885,16,1550000000000.0,155000000000000.0,251000000000.0
HR 858 b,87,9889,24,74400000000.0,8460000000000.0,20500000000.0
HR 858 c,87,9896,17,147000000000.0,16700000000000.0,28700000000.0
HR 858 d,102,9879,19,400000000000.0,38700000000000.0,74400000000.0
KELT-6 b,439,9553,8,991000000000.0,21600000000000.0,18100000000.0
KELT-6 c,917,9082,1,1880000000000000.0,1.86e+16,2050000000000.0
KOI-134 b,630,9365,5,29700000000000.0,442000000000000.0,236000000000.0
KOI-134 c,291,9703,6,5540000000000.0,185000000000000.0,114000000000.0
Kepler-117 b,208,9787,5,1560000000000.0,73200000000000.0,37400000000.0
Kepler-117 c,824,9175,1,23200000000000.0,258000000000000.0,28200000000.0
Kepler-25 b,111,9875,14,192000000000.0,17100000000000.0,24200000000.0
Kepler-25 c,146,9837,17,652000000000.0,43900000000000.0,76000000000.0
Kepler-25 d,320,9671,9,19900000000000.0,601000000000000.0,559000000000.0
TOI-1338 b,128,9858,14,9730000000000.0,749000000000000.0,1060000000000.0
TOI-1338 c,338,9648,14,76300000000000.0,2180000000000000.0,3160000000000.0
TOI-1408 b,810,9189,1,968000000000.0,11000000000000.0,1200000000.0
TOI-1408 c,102,9880,18,47000000000.0,4550000000000.0,8290000000.0
TOI-1670 b,233,9758,9,885000000000.0,37100000000000.0,34200000000.0
TOI-1670 c,523,9471,6,11600000000000.0,210000000000000.0,133000000000.0
TOI-201 b,451,9537,12,14800000000000.0,314000000000000.0,395000000000.0
TOI-201 d,95,9886,19,166000000000.0,17200000000000.0,33100000000.0
TOI-2458 b,142,9845,13,118000000000.0,8190000000000.0,10800000000.0
TOI-2458 c,124,9865,11,739000000000.0,58800000000000.0,65500000000.0
TOI-411 b,142,9844,14,167000000000.0,11600000000000.0,16400000000.0
TOI-411 c,119,9864,17,441000000000.0,36500000000000.0,63000000000.0
TOI-4562 b,871,9129,0,184000000000000.0,1930000000000000.0,0.0
TOI-4562 c,849,9148,3,8280000000000000.0,8.92e+16,29300000000000.0
TOI-5126 b,165,9822,13,251000000000.0,14900000000000.0,19800000000.0
TOI-5126 c,137,9844,19,1020000000000.0,73000000000000.0,141000000000.0
TOI-6695 b,291,9703,6,16800000000000.0,561000000000000.0,347000000000.0
TOI-6695 c,730,9268,2,184000000000000.0,2330000000000000.0,503000000000.0
WASP-18 b,971,9028,1,142000000000.0,1320000000000.0,147000000.0
WASP-18 c,265,9723,12,116000000000.0,4270000000000.0,5260000000.0
WASP-94 A b,397,9594,9,430000000000.0,10400000000000.0,9750000000.0
WASP-94 B b,513,9480,7,206000000000.0,3810000000000.0,2810000000.0
ups And b,525,9472,3,659000000000.0,11900000000000.0,3770000000.0
ups And c,863,9133,4,212000000000000.0,2240000000000000.0,981000000000.0
ups And d,970,9029,1,2190000000000000.0,2.04e+16,2260000000000.0
