Planeta,Zonas Estables,Zonas Inestables,Zonas Colisión m2,Área Estable (km²),Área Inestable (km²),Área Colisión m2 (km²)
14 Her b,493,9503,4,1420000000000000.0,2.74e+16,11500000000000.0
24 Sex b,769,9230,1,489000000000000.0,5870000000000000.0,636000000000.0
24 Sex c,539,9455,6,835000000000000.0,1.46e+16,9300000000000.0
7 CMa b,795,9204,1,880000000000000.0,1.02e+16,1110000000000.0
7 CMa c,579,9415,6,961000000000000.0,1.56e+16,9960000000000.0
BD+20 2457 c,994,9002,4,1440000000000000.0,1.3e+16,5790000000000.0
BD-06 1339 b,844,9153,3,554000000000.0,6000000000000.0,1970000000.0
BD-06 1339 c,353,9637,10,23900000000000.0,653000000000000.0,678000000000.0
BD-08 2823 b,694,9300,5,895000000000.0,12000000000000.0,6450000000.0
BD-08 2823 c,583,9411,6,96500000000000.0,1560000000000000.0,993000000000.0
BD-11 4672 b,705,9294,1,1410000000000000.0,1.85e+16,1990000000000.0
BD-11 4672 c,199,9791,10,6410000000000.0,316000000000000.0,322000000000.0
BD-210397 b,701,9298,1,1740000000000000.0,2.3e+16,2480000000000.0
BD-210397 c,901,9097,2,1.12e+16,1.13e+17,24900000000000.0
CoRoT-24 b,103,9874,23,116000000000.0,11100000000000.0,25800000000.0
CoRoT-24 c,226,9761,13,777000000000.0,33600000000000.0,44700000000.0
EPIC 212737443 b,130,9856,14,447000000000.0,33900000000000.0,48100000000.0
EPIC 212737443 c,136,9845,19,3820000000000.0,276000000000000.0,533000000000.0
GJ 1137 c,102,9874,24,255000000000.0,24700000000000.0,59900000000.0
GJ 143 b,226,9761,13,2970000000000.0,128000000000000.0,171000000000.0
GJ 414 A b,137,9846,17,2650000000000.0,190000000000000.0,329000000000.0
GJ 414 A c,370,9623,7,260000000000000.0,6750000000000000.0,4910000000000.0
GJ 9827 b,108,9875,17,13800000000.0,1260000000000.0,2170000000.0
GJ 9827 c,87,9891,22,48600000000.0,5530000000000.0,12300000000.0
GJ 9827 d,97,9886,17,97600000000.0,9940000000000.0,17100000000.0
HAT-P-11 b,226,9762,12,224000000000.0,9660000000000.0,11900000000.0
HAT-P-11 c,934,9062,4,5620000000000000.0,5.45e+16,24100000000000.0
HAT-P-17 b,573,9419,8,1630000000000.0,26800000000000.0,22800000000.0
HAT-P-17 c,924,9070,6,1.04e+16,1.02e+17,67400000000000.0
HD 101581 b,76,9897,27,57600000000.0,7500000000000.0,20500000000.0
HD 101581 c,76,9904,20,89400000000.0,11600000000000.0,23500000000.0
HD 102329 b,898,9101,1,1050000000000000.0,1.07e+16,1170000000000.0
HD 104067 b,353,9637,10,9040000000000.0,247000000000000.0,256000000000.0
HD 104067 c,165,9822,13,661000000000.0,39400000000000.0,52100000000.0
HD 110067 b,109,9877,14,245000000000.0,22200000000000.0,31500000000.0
HD 110067 c,113,9868,19,437000000000.0,38100000000000.0,73400000000.0
HD 110067 d,132,9852,16,877000000000.0,65400000000000.0,106000000000.0
HD 110067 e,97,9884,19,1110000000000.0,113000000000000.0,217000000000.0
HD 110067 f,104,9875,21,1740000000000.0,165000000000000.0,352000000000.0
HD 110067 g,131,9854,15,3220000000000.0,242000000000000.0,369000000000.0
HD 11343 c,454,9536,10,138000000000000.0,2910000000000000.0,3050000000000.0
HD 113538 b,569,9424,7,313000000000000.0,5190000000000000.0,3850000000000.0
HD 113538 c,822,9177,1,1750000000000000.0,1.96e+16,2130000000000.0
HD 114386 b,855,9144,1,916000000000000.0,9800000000000000.0,1070000000000.0
HD 114386 c,494,9501,5,195000000000000.0,3750000000000000.0,1970000000000.0
HD 114783 b,781,9218,1,376000000000000.0,4440000000000000.0,482000000000.0
HD 114783 c,890,9109,1,7970000000000000.0,8.15e+16,8950000000000.0
HD 115404 A b,246,9739,15,682000000000.0,27000000000000.0,41600000000.0
HD 115404 A c,826,9166,8,3.82e+16,4.24e+17,370000000000000.0
HD 116029 b,843,9156,1,822000000000000.0,8930000000000000.0,975000000000.0
HD 118203 b,834,9165,1,1520000000000.0,16700000000000.0,1820000000.0
HD 118203 c,535,9460,5,7560000000000000.0,1.34e+17,70600000000000.0
HD 12661 b,867,9130,3,219000000000000.0,2310000000000000.0,758000000000.0
HD 12661 c,901,9098,1,2560000000000000.0,2.58e+16,2840000000000.0
HD 128311 b,891,9107,2,375000000000000.0,3830000000000000.0,842000000000.0
HD 128311 c,947,9050,3,1030000000000000.0,9810000000000000.0,3250000000000.0
HD 13808 b,154,9832,14,610000000000.0,39000000000000.0,55500000000.0
HD 13808 c,145,9840,15,3390000000000.0,230000000000000.0,350000000000.0
HD 141399 b,469,9521,10,28900000000000.0,587000000000000.0,617000000000.0
HD 141399 c,756,9242,2,129000000000000.0,1570000000000000.0,340000000000.0
HD 141399 d,737,9260,3,1150000000000000.0,1.45e+16,4690000000000.0
HD 141399 e,566,9426,8,5070000000000000.0,8.44e+16,71600000000000.0
HD 145675 c,975,9021,4,1.4e+17,1.29e+18,573000000000000.0
HD 15337 b,113,9868,19,111000000000.0,9720000000000.0,18700000000.0
HD 15337 c,115,9870,15,628000000000.0,53900000000000.0,81900000000.0
HD 153557 b,206,9786,8,341000000000.0,16200000000000.0,13200000000.0
HD 153557 c,191,9794,15,843000000000.0,43200000000000.0,66200000000.0
HD 156668 b,99,9884,17,88600000000.0,8850000000000.0,15200000000.0
HD 156668 c,259,9730,11,229000000000000.0,8590000000000000.0,9710000000000.0
HD 15906 b,109,9877,14,316000000000.0,28600000000000.0,40600000000.0
HD 15906 c,136,9843,21,968000000000.0,70100000000000.0,149000000000.0
HD 1605 b,604,9390,6,481000000000000.0,7480000000000000.0,4780000000000.0
HD 1605 c,923,9076,1,4250000000000000.0,4.17e+16,4600000000000.0
HD 164604 b,630,9359,11,418000000000000.0,6220000000000000.0,7310000000000.0
HD 164604 c,835,9158,7,9230000000000000.0,1.01e+17,77400000000000.0
HD 176986 b,994,9003,3,1410000000000.0,12800000000000.0,4260000000.0
HD 176986 c,950,9048,2,4800000000000.0,45700000000000.0,10100000000.0
HD 176986 d,118,9867,15,3350000000000.0,280000000000000.0,426000000000.0
HD 177830 b,698,9301,1,325000000000000.0,4330000000000000.0,465000000000.0
HD 177830 c,216,9777,7,20400000000000.0,924000000000000.0,661000000000.0
HD 18143 b,142,9846,12,394000000000.0,27300000000000.0,33300000000.0
HD 18143 c,861,9136,3,9.47e+16,1.01e+18,330000000000000.0
HD 181433 b,719,9278,3,1770000000000.0,22800000000000.0,7360000000.0
HD 181433 c,977,9020,3,1240000000000000.0,1.15e+16,3820000000000.0
HD 181433 d,925,9073,2,1.5e+16,1.48e+17,32500000000000.0
HD 184010 b,345,9647,8,109000000000000.0,3050000000000000.0,2530000000000.0
HD 184010 c,340,9648,12,217000000000000.0,6150000000000000.0,7650000000000.0
HD 184010 d,419,9575,6,553000000000000.0,1.26e+16,7920000000000.0
HD 192310 b,186,9800,14,6820000000000.0,359000000000000.0,513000000000.0
HD 192310 c,224,9768,8,112000000000000.0,4870000000000000.0,3990000000000.0
HD 202696 b,719,9278,3,631000000000000.0,8150000000000000.0,2630000000000.0
HD 202696 c,697,9301,2,1370000000000000.0,1.83e+16,3930000000000.0
HD 20781 b,84,9890,26,84200000000.0,9910000000000.0,26100000000.0
HD 20781 c,112,9872,16,404000000000.0,35600000000000.0,57800000000.0
HD 20781 d,159,9824,17,1540000000000.0,95400000000000.0,165000000000.0
HD 20781 e,185,9802,13,7540000000000.0,400000000000000.0,530000000000.0
HD 215152 b,902,9097,1,1070000000000.0,10800000000000.0,1190000000.0
HD 215152 c,870,9130,0,1410000000000.0,14800000000000.0,0.0
HD 215152 d,912,9086,2,2530000000000.0,25200000000000.0,5540000000.0
HD 215152 e,930,9070,0,7920000000000.0,77200000000000.0,0.0
HD 215497 b,961,9032,7,860000000000.0,8090000000000.0,6270000000.0
HD 215497 c,522,9473,5,321000000000000.0,5820000000000000.0,3070000000000.0
HD 216520 b,142,9844,14,1990000000000.0,138000000000000.0,197000000000.0
HD 216520 c,137,9844,19,13700000000000.0,983000000000000.0,1900000000000.0
HD 21749 c,98,9886,16,170000000000.0,17100000000000.0,27700000000.0
HD 219134 b,102,9877,21,54900000000.0,5310000000000.0,11300000000.0
HD 219134 c,100,9881,19,153000000000.0,15100000000000.0,29000000000.0
HD 219134 d,185,9802,13,3720000000000.0,197000000000000.0,261000000000.0
HD 219134 f,120,9861,19,920000000000.0,75600000000000.0,146000000000.0
HD 219134 g,148,9835,17,7460000000000.0,496000000000000.0,857000000000.0
HD 219134 h,469,9521,10,1620000000000000.0,3.3e+16,34600000000000.0
HD 23472 b,142,9844,14,687000000000.0,47600000000000.0,67700000000.0
HD 23472 c,98,9885,17,951000000000.0,95900000000000.0,165000000000.0
HD 23472 d,68,9911,21,45000000000.0,6560000000000.0,13900000000.0
HD 23472 e,74,9900,26,123000000000.0,16400000000000.0,43100000000.0
HD 23472 f,75,9897,28,220000000000.0,29100000000000.0,82300000000.0
HD 27894 b,625,9370,5,3500000000000.0,52400000000000.0,28000000000.0
