Planeta,Zonas Estables,Zonas Inestables,Zonas Colisión m2,Área Estable (km²),Área Inestable (km²),Área Colisión m2 (km²)
55 Cnc B b,148,9834,18,103000000000.0,6820000000000.0,12500000000.0
55 Cnc B c,185,9803,12,1120000000000.0,59300000000000.0,72600000000.0
7 CMa b,795,9204,1,880000000000000.0,1.02e+16,1110000000000.0
7 CMa c,579,9415,6,961000000000000.0,1.56e+16,9960000000000.0
AU Mic b,151,9835,14,265000000000.0,17300000000000.0,24600000000.0
AU Mic c,195,9792,13,989000000000.0,49700000000000.0,65900000000.0
BD-06 1339 b,844,9153,3,554000000000.0,6000000000000.0,1970000000.0
BD-06 1339 c,353,9637,10,23900000000000.0,653000000000000.0,678000000000.0
Barnard b,78,9898,24,14600000000.0,1860000000000.0,4510000000.0
Barnard c,79,9905,16,21200000000.0,2660000000000.0,4300000000.0
Barnard d,77,9904,19,9750000000.0,1250000000000.0,2400000000.0
Barnard e,75,9897,28,39000000000.0,5140000000000.0,14600000000.0
G 192-15 b,113,9870,17,12000000000.0,1050000000000.0,1810000000.0
G 192-15 c,421,9573,6,195000000000000.0,4430000000000000.0,2780000000000.0
G 264-012 b,116,9869,15,21600000000.0,1840000000000.0,2790000000.0
G 264-012 c,142,9845,13,140000000000.0,9720000000000.0,12800000000.0
GJ 1002 b,120,9861,19,89700000000.0,7370000000000.0,14200000000.0
GJ 1002 c,136,9843,21,265000000000.0,19200000000000.0,41000000000.0
GJ 1061 b,120,9864,16,18900000000.0,1560000000000.0,2530000000.0
GJ 1061 c,157,9826,17,65800000000.0,4120000000000.0,7120000000.0
GJ 1061 d,149,9830,21,156000000000.0,10300000000000.0,21900000000.0
GJ 1132 b,122,9862,16,10800000000.0,870000000000.0,1410000000.0
GJ 1132 c,156,9828,16,127000000000.0,7970000000000.0,13000000000.0
GJ 1148 b,670,9328,2,6610000000000.0,92000000000000.0,19700000000.0
GJ 1148 c,572,9421,7,170000000000000.0,2810000000000000.0,2080000000000.0
GJ 15 A b,114,9868,18,212000000000.0,18300000000000.0,33400000000.0
GJ 15 A c,397,9595,8,4150000000000000.0,1e+17,83500000000000.0
GJ 163 b,208,9787,5,274000000000.0,12900000000000.0,6600000000.0
GJ 163 c,170,9815,15,957000000000.0,55300000000000.0,84500000000.0
GJ 163 d,346,9646,8,132000000000000.0,3670000000000000.0,3040000000000.0
GJ 180 b,157,9827,16,476000000000.0,29800000000000.0,48500000000.0
GJ 180 c,156,9828,16,930000000000.0,58600000000000.0,95300000000.0
GJ 180 d,175,9812,13,5980000000000.0,335000000000000.0,444000000000.0
GJ 229 A c,169,9820,11,8920000000000.0,519000000000000.0,581000000000.0
GJ 229 b,223,9767,10,94200000000000.0,4120000000000000.0,4220000000000.0
GJ 251 b,136,9848,16,318000000000.0,23000000000000.0,37400000000.0
GJ 251 c,136,9848,16,1870000000000.0,135000000000000.0,220000000000.0
GJ 273 b,125,9863,12,371000000000.0,29300000000000.0,35700000000.0
GJ 273 c,91,9890,19,43300000000.0,4710000000000.0,9050000000.0
GJ 3090 b,118,9865,17,42200000000.0,3530000000000.0,6080000000.0
GJ 3090 c,182,9799,19,648000000000.0,34900000000000.0,67600000000.0
GJ 3138 b,83,9896,21,11500000000.0,1380000000000.0,2920000000.0
GJ 3138 c,103,9873,24,120000000000.0,11500000000000.0,27900000000.0
GJ 3138 d,161,9822,17,28100000000000.0,1710000000000000.0,2970000000000.0
GJ 317 b,762,9235,3,353000000000000.0,4280000000000000.0,1390000000000.0
GJ 317 c,938,9057,5,8530000000000000.0,8.24e+16,45500000000000.0
GJ 328 b,911,9089,0,5510000000000000.0,5.5e+16,0.0
GJ 328 c,230,9755,15,35600000000000.0,1510000000000000.0,2320000000000.0
GJ 3293 b,301,9696,3,2220000000000.0,71400000000000.0,22100000000.0
GJ 3293 c,291,9702,7,13600000000000.0,455000000000000.0,328000000000.0
GJ 3293 d,178,9807,15,2400000000000.0,132000000000000.0,202000000000.0
GJ 3293 e,113,9870,17,273000000000.0,23800000000000.0,41000000000.0
GJ 3323 b,142,9843,15,54800000000.0,3800000000000.0,5790000000.0
GJ 3323 c,150,9832,18,858000000000.0,56200000000000.0,103000000000.0
GJ 3473 b,99,9883,18,8950000000.0,894000000000.0,1630000000.0
GJ 3473 c,185,9803,12,508000000000.0,26900000000000.0,33000000000.0
GJ 3512 b,921,9077,2,37600000000000.0,370000000000000.0,81600000000.0
GJ 3512 c,926,9069,5,994000000000000.0,9730000000000000.0,5360000000000.0
GJ 357 b,100,9882,18,46400000000.0,4590000000000.0,8350000000.0
GJ 357 c,124,9865,11,165000000000.0,13100000000000.0,14700000000.0
