     Planeta  Zonas Estables  Zonas Inestables  Zonas Colisión m2  Área Estable (km²)  Área Inestable (km²)  Área Colisión m2 (km²)
    DMPP-1 b             149              9829                 22            1.08e+12              7.13e+13                1.60e+11
    DMPP-1 c             120              9863                 17            4.07e+11              3.34e+13                5.76e+10
    DMPP-1 d              89              9887                 24            6.36e+10              7.06e+12                1.71e+10
    DMPP-1 e              89              9888                 23            1.35e+11              1.50e+13                3.49e+10
    DMPP-2 b             447              9542                 11            7.05e+11              1.51e+13                1.74e+10
    DMPP-2 c             246              9739                 15            2.02e+11              8.00e+12                1.23e+10
    DMPP-2 d             328              9660                 12            2.41e+12              7.09e+13                8.81e+10
   HAT-P-2 b             830              9167                  3            1.38e+12              1.52e+13                4.99e+09
 HD 106315 b             137              9844                 19            4.04e+11              2.90e+13                5.60e+10
 HD 106315 c             149              9830                 21            1.26e+12              8.30e+13                1.77e+11
 HD 113337 b             895              9103                  2            3.35e+14              3.40e+15                7.48e+11
  HD 13908 b             588              9406                  6            4.99e+12              7.99e+13                5.10e+10
  HD 13908 c             923              9075                  2            1.36e+15              1.34e+16                2.95e+12
  HD 142 A d             336              9652                 12            2.70e+13              7.77e+14                9.65e+11
    HD 142 b            1005              8990                  5            3.88e+14              3.48e+15                1.93e+12
    HD 142 c             432              9561                  7            1.49e+16              3.30e+17                2.41e+14
 HD 148164 b             707              9291                  2            2.50e+14              3.28e+15                7.06e+11
 HD 148164 c             956              9042                  2            1.29e+16              1.22e+17                2.71e+13
 HD 169830 b             878              9120                  2            1.84e+14              1.91e+15                4.19e+11
 HD 169830 c             763              9233                  4            2.58e+15              3.13e+16                1.35e+13
 HD 206893 c             908              9089                  3            4.55e+15              4.55e+16                1.50e+13
 HD 217786 b             867              9127                  6            1.86e+15              1.96e+16                1.29e+13
 HD 217786 c             104              9875                 21            5.38e+10              5.11e+12                1.09e+10
  HD 22946 d             201              9791                  8            6.30e+12              3.07e+14                2.51e+11
  HD 23079 b             892              9107                  1            8.18e+14              8.35e+15                9.17e+11
  HD 28109 b              98              9886                 16            6.46e+11              6.52e+13                1.06e+11
  HD 28109 c             111              9874                 15            3.77e+12              3.35e+14                5.10e+11
  HD 28109 d              96              9888                 16            5.81e+12              5.98e+14                9.68e+11
   HD 5278 b             108              9875                 17            5.59e+11              5.11e+13                8.80e+10
   HD 5278 c             165              9824                 11            3.45e+12              2.05e+14                2.30e+11
  HD 60532 b             606              9389                  5            1.29e+14              1.99e+15                1.06e+12
  HD 60532 c             843              9156                  1            7.73e+14              8.39e+15                9.17e+11
  HD 62364 b             502              9490                  8            6.80e+15              1.29e+17                1.08e+14
  HD 67087 b             889              9110                  1            3.71e+14              3.80e+15                4.18e+11
  HD 67087 c             947              9048                  5            5.05e+15              4.83e+16                2.67e+13
  HD 73344 b             118              9864                 18            7.25e+11              6.06e+13                1.11e+11
  HD 73344 c             408              9585                  7            1.68e+13              3.94e+14                2.88e+11
  HD 73344 d             890              9108                  2            1.43e+16              1.46e+17                3.21e+13
  HD 75898 b             865              9132                  3            4.48e+14              4.73e+15                1.55e+12
  HD 75898 c             762              9234                  4            1.49e+16              1.81e+17                7.82e+13
 HIP 41378 b             110              9874                 16            6.69e+11              6.00e+13                9.73e+10
 HIP 41378 c              99              9885                 16            1.55e+12              1.55e+14                2.51e+11
    HR 858 b              87              9889                 24            7.44e+10              8.46e+12                2.05e+10
    HR 858 c              87              9896                 17            1.47e+11              1.67e+13                2.87e+10
    HR 858 d             102              9879                 19            4.00e+11              3.87e+13                7.44e+10
    KELT-6 b             439              9553                  8            9.91e+11              2.16e+13                1.81e+10
