Planeta,Zonas Estables,Zonas Inestables,Zonas Colisión m2,Área Estable (km²),Área Inestable (km²),Área Colisión m2 (km²)
47 UMa b,908,9092,0,1430000000000000.0,1.44e+16,0.0
47 UMa c,517,9476,7,2400000000000000.0,4.4e+16,32500000000000.0
47 UMa d,823,9176,1,3.97e+16,4.42e+17,48200000000000.0
55 Cnc b,642,9353,5,3200000000000.0,46600000000000.0,24900000000.0
55 Cnc c,298,9696,6,6510000000000.0,212000000000000.0,131000000000.0
55 Cnc d,906,9093,1,1.02e+16,1.02e+17,11200000000000.0
55 Cnc e,113,9868,19,9650000000.0,842000000000.0,1620000000.0
55 Cnc f,271,9722,7,62400000000000.0,2240000000000000.0,1610000000000.0
61 Vir b,101,9880,19,91100000000.0,8920000000000.0,17100000000.0
61 Vir c,183,9798,19,3100000000000.0,166000000000000.0,322000000000.0
61 Vir d,201,9793,6,16300000000000.0,795000000000000.0,487000000000.0
75 Cet b,776,9223,1,1020000000000000.0,1.21e+16,1310000000000.0
75 Cet c,497,9494,9,2750000000000000.0,5.25e+16,49700000000000.0
CoRoT-20 b,911,9088,1,2640000000000.0,26400000000000.0,2900000000.0
CoRoT-7 b,95,9886,19,9850000000.0,1020000000000.0,1970000000.0
CoRoT-7 c,120,9865,15,90900000000.0,7470000000000.0,11400000000.0
EPIC 220674823 b,116,9869,15,7240000000.0,616000000000.0,936000000.0
EPIC 220674823 c,118,9866,16,491000000000.0,41100000000000.0,66600000000.0
EPIC 249893012 b,116,9869,15,91800000000.0,7810000000000.0,11900000000.0
EPIC 249893012 c,149,9831,20,902000000000.0,59500000000000.0,121000000000.0
EPIC 249893012 d,124,9864,12,2150000000000.0,171000000000000.0,208000000000.0
HAT-P-13 b,579,9415,6,398000000000.0,6480000000000.0,4130000000.0
HD 10180 c,980,9017,3,1440000000000.0,13300000000000.0,4420000000.0
HD 10180 d,691,9306,3,4090000000000.0,55100000000000.0,17800000000.0
HD 10180 e,200,9791,9,5220000000000.0,255000000000000.0,235000000000.0
HD 10180 f,191,9795,14,16600000000000.0,852000000000000.0,1220000000000.0
HD 10180 g,740,9253,7,540000000000000.0,6750000000000000.0,5100000000000.0
HD 10180 h,319,9673,8,1310000000000000.0,3.96e+16,32700000000000.0
HD 107148 b,317,9675,8,8210000000000.0,251000000000000.0,207000000000.0
HD 107148 c,178,9808,14,1260000000000.0,69500000000000.0,99200000000.0
HD 108236 b,89,9886,25,65300000000.0,7250000000000.0,18300000000.0
HD 108236 c,101,9882,17,139000000000.0,13600000000000.0,23400000000.0
HD 108236 e,136,9846,18,910000000000.0,65900000000000.0,120000000000.0
HD 108236 f,101,9881,18,1120000000000.0,109000000000000.0,199000000000.0
HD 108874 b,772,9227,1,299000000000000.0,3570000000000000.0,387000000000.0
HD 108874 c,677,9322,1,1710000000000000.0,2.36e+16,2530000000000.0
HD 109271 b,165,9824,11,369000000000.0,22000000000000.0,24600000000.0
HD 109271 c,196,9791,13,2700000000000.0,135000000000000.0,179000000000.0
HD 110113 b,96,9889,15,42100000000.0,4340000000000.0,6580000000.0
HD 110113 c,131,9854,15,217000000000.0,16300000000000.0,24800000000.0
HD 111232 b,960,9039,1,1590000000000000.0,1.49e+16,1650000000000.0
HD 11506 b,931,9069,0,2770000000000000.0,2.7e+16,0.0
HD 11506 c,415,9577,8,88300000000000.0,2040000000000000.0,1700000000000.0
HD 11506 d,830,9166,4,9.84e+16,1.09e+18,474000000000000.0
HD 11964 b,594,9401,5,2120000000000000.0,3.36e+16,17900000000000.0
HD 11964 c,214,9778,8,4020000000000.0,184000000000000.0,150000000000.0
HD 125612 b,919,9079,2,599000000000000.0,5920000000000000.0,1300000000000.0
HD 125612 c,156,9828,16,145000000000.0,9150000000000.0,14900000000.0
HD 125612 d,841,9156,3,4780000000000000.0,5.2e+16,17000000000000.0
HD 133131 A b,813,9185,2,604000000000000.0,6820000000000000.0,1490000000000.0
HD 133131 A c,482,9512,6,3480000000000000.0,6.87e+16,43300000000000.0
HD 133131 B b,915,9084,1,1.24e+16,1.23e+17,13500000000000.0
HD 134060 b,120,9864,16,84700000000.0,6960000000000.0,11300000000.0
HD 134060 c,209,9786,5,428000000000000.0,2.01e+16,10300000000000.0
HD 134606 b,118,9866,16,462000000000.0,38700000000000.0,62700000000.0
HD 134606 c,133,9853,14,4310000000000.0,319000000000000.0,453000000000.0
HD 134606 d,266,9723,11,359000000000000.0,1.31e+16,14800000000000.0
HD 134606 e,81,9894,25,80600000000.0,9840000000000.0,24900000000.0
HD 134606 f,100,9881,19,1140000000000.0,113000000000000.0,217000000000.0
HD 134987 b,805,9194,1,189000000000000.0,2160000000000000.0,235000000000.0
HD 134987 c,616,9381,3,7420000000000000.0,1.13e+17,36100000000000.0
HD 136352 b,101,9881,18,336000000000.0,32900000000000.0,59900000000.0
HD 136352 c,145,9839,16,1540000000000.0,104000000000000.0,170000000000.0
HD 136352 d,126,9858,16,8150000000000.0,638000000000000.0,1030000000000.0
HD 137496 b,89,9888,23,23800000000.0,2640000000000.0,6150000000.0
HD 137496 c,949,9047,4,503000000000000.0,4790000000000000.0,2120000000000.0
HD 140901 b,165,9820,15,427000000000.0,25400000000000.0,38800000000.0
HD 140901 c,856,9143,1,4.27e+16,4.56e+17,49900000000000.0
HD 1461 b,104,9874,22,150000000000.0,14200000000000.0,31700000000.0
HD 1461 c,101,9881,18,451000000000.0,44100000000000.0,80400000000.0
