              Planeta  Zonas Estables  Zonas Inestables  Zonas Colisión m2  Área Estable (km²)  Área Inestable (km²)  Área Colisión m2 (km²)
             47 UMa b             908              9092                  0            1.43e+15              1.44e+16                0.00e+00
             47 UMa c             517              9476                  7            2.40e+15              4.40e+16                3.25e+13
             47 UMa d             823              9176                  1            3.97e+16              4.42e+17                4.82e+13
             55 Cnc b             642              9353                  5            3.20e+12              4.66e+13                2.49e+10
             55 Cnc c             298              9696                  6            6.51e+12              2.12e+14                1.31e+11
             55 Cnc d             906              9093                  1            1.02e+16              1.02e+17                1.12e+13
             55 Cnc e             113              9868                 19            9.65e+09              8.42e+11                1.62e+09
             55 Cnc f             271              9722                  7            6.24e+13              2.24e+15                1.61e+12
             61 Vir b             101              9880                 19            9.11e+10              8.92e+12                1.71e+10
             61 Vir c             183              9798                 19            3.10e+12              1.66e+14                3.22e+11
             61 Vir d             201              9793                  6            1.63e+13              7.95e+14                4.87e+11
             75 Cet b             776              9223                  1            1.02e+15              1.21e+16                1.31e+12
             75 Cet c             497              9494                  9            2.75e+15              5.25e+16                4.97e+13
           CoRoT-20 b             911              9088                  1            2.64e+12              2.64e+13                2.90e+09
            CoRoT-7 b              95              9886                 19            9.85e+09              1.02e+12                1.97e+09
            CoRoT-7 c             120              9865                 15            9.09e+10              7.47e+12                1.14e+10
     EPIC 220674823 b             116              9869                 15            7.24e+09              6.16e+11                9.36e+08
     EPIC 220674823 c             118              9866                 16            4.91e+11              4.11e+13                6.66e+10
     EPIC 249893012 b             116              9869                 15            9.18e+10              7.81e+12                1.19e+10
     EPIC 249893012 c             149              9831                 20            9.02e+11              5.95e+13                1.21e+11
     EPIC 249893012 d             124              9864                 12            2.15e+12              1.71e+14                2.08e+11
           HAT-P-13 b             579              9415                  6            3.98e+11              6.48e+12                4.13e+09
           HD 10180 c             980              9017                  3            1.44e+12              1.33e+13                4.42e+09
           HD 10180 d             691              9306                  3            4.09e+12              5.51e+13                1.78e+10
           HD 10180 e             200              9791                  9            5.22e+12              2.55e+14                2.35e+11
           HD 10180 f             191              9795                 14            1.66e+13              8.52e+14                1.22e+12
           HD 10180 g             740              9253                  7            5.40e+14              6.75e+15                5.10e+12
           HD 10180 h             319              9673                  8            1.31e+15              3.96e+16                3.27e+13
          HD 107148 b             317              9675                  8            8.21e+12              2.51e+14                2.07e+11
          HD 107148 c             178              9808                 14            1.26e+12              6.95e+13                9.92e+10
          HD 108236 b              89              9886                 25            6.53e+10              7.25e+12                1.83e+10
          HD 108236 c             101              9882                 17            1.39e+11              1.36e+13                2.34e+10
          HD 108236 e             136              9846                 18            9.10e+11              6.59e+13                1.20e+11
          HD 108236 f             101              9881                 18            1.12e+12              1.09e+14                1.99e+11
          HD 108874 b             772              9227                  1            2.99e+14              3.57e+15                3.87e+11
          HD 108874 c             677              9322                  1            1.71e+15              2.36e+16                2.53e+12
          HD 109271 b             165              9824                 11            3.69e+11              2.20e+13                2.46e+10
          HD 109271 c             196              9791                 13            2.70e+12              1.35e+14                1.79e+11
          HD 110113 b              96              9889                 15            4.21e+10              4.34e+12                6.58e+09
          HD 110113 c             131              9854                 15            2.17e+11              1.63e+13                2.48e+10
          HD 111232 b             960              9039                  1            1.59e+15              1.49e+16                1.65e+12
           HD 11506 b             931              9069                  0            2.77e+15              2.70e+16                0.00e+00
           HD 11506 c             415              9577                  8            8.83e+13              2.04e+15                1.70e+12
           HD 11506 d             830              9166                  4            9.84e+16              1.09e+18                4.74e+14
           HD 11964 b             594              9401                  5            2.12e+15              3.36e+16                1.79e+13
           HD 11964 c             214              9778                  8            4.02e+12              1.84e+14                1.50e+11
          HD 125612 b             919              9079                  2            5.99e+14              5.92e+15                1.30e+12
          HD 125612 c             156              9828                 16            1.45e+11              9.15e+12                1.49e+10
          HD 125612 d             841              9156                  3            4.78e+15              5.20e+16                1.70e+13
        HD 133131 A b             813              9185                  2            6.04e+14              6.82e+15                1.49e+12
        HD 133131 A c             482              9512                  6            3.48e+15              6.87e+16                4.33e+13
        HD 133131 B b             915              9084                  1            1.24e+16              1.23e+17                1.35e+13
          HD 134060 b             120              9864                 16            8.47e+10              6.96e+12                1.13e+10
          HD 134060 c             209              9786                  5            4.28e+14              2.01e+16                1.03e+13
          HD 134606 b             118              9866                 16            4.62e+11              3.87e+13                6.27e+10
          HD 134606 c             133              9853                 14            4.31e+12              3.19e+14                4.53e+11
          HD 134606 d             266              9723                 11            3.59e+14              1.31e+16                1.48e+13
          HD 134606 e              81              9894                 25            8.06e+10              9.84e+12                2.49e+10
          HD 134606 f             100              9881                 19            1.14e+12              1.13e+14                2.17e+11
          HD 134987 b             805              9194                  1            1.89e+14              2.16e+15                2.35e+11
          HD 134987 c             616              9381                  3            7.42e+15              1.13e+17                3.61e+13
          HD 136352 b             101              9881                 18            3.36e+11              3.29e+13                5.99e+10
          HD 136352 c             145              9839                 16            1.54e+12              1.04e+14                1.70e+11
          HD 136352 d             126              9858                 16            8.15e+12              6.38e+14                1.03e+12
          HD 137496 b              89              9888                 23            2.38e+10              2.64e+12                6.15e+09
          HD 137496 c             949              9047                  4            5.03e+14              4.79e+15                2.12e+12
          HD 140901 b             165              9820                 15            4.27e+11              2.54e+13                3.88e+10
          HD 140901 c             856              9143                  1            4.27e+16              4.56e+17                4.99e+13
            HD 1461 b             104              9874                 22            1.50e+11              1.42e+13                3.17e+10
            HD 1461 c             101              9881                 18            4.51e+11              4.41e+13                8.04e+10
          HD 147018 b             884              9116                  0            1.81e+13              1.86e+14                0.00e+00
          HD 147018 c             898              9100                  2            1.19e+15              1.20e+16                2.65e+12
          HD 147873 b             917              9080                  3            8.95e+13              8.86e+14                2.93e+11
          HD 147873 c             838              9160                  2            5.55e+14              6.07e+15                1.32e+12
          HD 152843 b             117              9867                 16            4.61e+11              3.89e+13                6.30e+10
          HD 152843 c             116              9868                 16            9.12e+11              7.76e+13                1.26e+11
          HD 154857 b             761              9237                  2            4.53e+14              5.50e+15                1.19e+12
          HD 154857 c             772              9227                  1            7.94e+15              9.49e+16                1.03e+13
          HD 155358 b             663              9335                  2            9.42e+13              1.33e+15                2.84e+11
          HD 155358 c             607              9389                  4            2.26e+14              3.50e+15                1.49e+12
          HD 155918 b             111              9876                 13            3.58e+10              3.18e+12                4.19e+09
          HD 155918 c             990              9008                  2            6.16e+16              5.61e+17                1.24e+14
          HD 156279 b             746              9250                  4            6.73e+13              8.35e+14                3.61e+11
          HD 156279 c             817              9180                  3            8.80e+15              9.89e+16                3.23e+13
          HD 159243 b             705              9294                  1            3.05e+12              4.03e+13                4.33e+09
          HD 159243 c             843              9156                  1            1.93e+14              2.10e+15                2.29e+11
          HD 159868 b             870              9127                  3            1.68e+15              1.76e+16                5.78e+12
          HD 159868 c             578              9416                  6            2.20e+14              3.59e+15                2.29e+12
          HD 160691 b             908              9091                  1            7.32e+14              7.32e+15                8.06e+11
          HD 160691 c             921              9079                  0            5.73e+15              5.65e+16                0.00e+00
          HD 160691 d             120              9865                 15            3.89e+11              3.20e+13                4.87e+10
          HD 160691 e             765              9231                  4            2.52e+14              3.05e+15                1.32e+12
          HD 163607 b             603              9393                  4            2.83e+13              4.41e+14                1.88e+11
          HD 163607 c             878              9118                  4            1.80e+15              1.86e+16                8.18e+12
          HD 164922 b             453              9535                 12            7.57e+14              1.59e+16                2.00e+13
          HD 164922 c             150              9833                 17            6.25e+12              4.09e+14                7.08e+11
          HD 164922 d              93              9888                 19            3.53e+11              3.76e+13                7.22e+10
          HD 164922 e             136              9843                 21            2.56e+12              1.85e+14                3.95e+11
          HD 168443 b             959              9039                  2            2.93e+13              2.76e+14                6.11e+10
          HD 183263 b             927              9070                  3            7.08e+14              6.92e+15                2.29e+12
          HD 183263 c             460              9536                  4            5.14e+15              1.07e+17                4.47e+13
          HD 187123 b             516              9476                  8            3.35e+11              6.16e+12                5.20e+09
          HD 187123 c             913              9086                  1            7.82e+15              7.78e+16                8.56e+12
          HD 189567 b             126              9859                 15            5.56e+11              4.35e+13                6.62e+10
          HD 189567 c             116              9870                 14            1.61e+12              1.37e+14                1.95e+11
          HD 190360 b             845              9154                  1            4.75e+15              5.15e+16                5.62e+12
          HD 190360 c             205              9787                  8            1.23e+12              5.89e+13                4.81e+10
          HD 191939 b             142              9843                 15            3.29e+11              2.28e+13                3.47e+10
