         Planeta  Zonas Estables  Zonas Inestables  Zonas Colisión m2  Área Estable (km²)  Área Inestable (km²)  Área Colisión m2 (km²)
        14 Her b             493              9503                  4            1.42e+15              2.74e+16                1.15e+13
        24 Sex b             769              9230                  1            4.89e+14              5.87e+15                6.36e+11
        24 Sex c             539              9455                  6            8.35e+14              1.46e+16                9.30e+12
         7 CMa b             795              9204                  1            8.80e+14              1.02e+16                1.11e+12
         7 CMa c             579              9415                  6            9.61e+14              1.56e+16                9.96e+12
    BD+20 2457 c             994              9002                  4            1.44e+15              1.30e+16                5.79e+12
    BD-06 1339 b             844              9153                  3            5.54e+11              6.00e+12                1.97e+09
    BD-06 1339 c             353              9637                 10            2.39e+13              6.53e+14                6.78e+11
    BD-08 2823 b             694              9300                  5            8.95e+11              1.20e+13                6.45e+09
    BD-08 2823 c             583              9411                  6            9.65e+13              1.56e+15                9.93e+11
    BD-11 4672 b             705              9294                  1            1.41e+15              1.85e+16                1.99e+12
    BD-11 4672 c             199              9791                 10            6.41e+12              3.16e+14                3.22e+11
     BD-210397 b             701              9298                  1            1.74e+15              2.30e+16                2.48e+12
     BD-210397 c             901              9097                  2            1.12e+16              1.13e+17                2.49e+13
      CoRoT-24 b             103              9874                 23            1.16e+11              1.11e+13                2.58e+10
      CoRoT-24 c             226              9761                 13            7.77e+11              3.36e+13                4.47e+10
EPIC 212737443 b             130              9856                 14            4.47e+11              3.39e+13                4.81e+10
EPIC 212737443 c             136              9845                 19            3.82e+12              2.76e+14                5.33e+11
       GJ 1137 c             102              9874                 24            2.55e+11              2.47e+13                5.99e+10
        GJ 143 b             226              9761                 13            2.97e+12              1.28e+14                1.71e+11
      GJ 414 A b             137              9846                 17            2.65e+12              1.90e+14                3.29e+11
      GJ 414 A c             370              9623                  7            2.60e+14              6.75e+15                4.91e+12
       GJ 9827 b             108              9875                 17            1.38e+10              1.26e+12                2.17e+09
       GJ 9827 c              87              9891                 22            4.86e+10              5.53e+12                1.23e+10
       GJ 9827 d              97              9886                 17            9.76e+10              9.94e+12                1.71e+10
      HAT-P-11 b             226              9762                 12            2.24e+11              9.66e+12                1.19e+10
      HAT-P-11 c             934              9062                  4            5.62e+15              5.45e+16                2.41e+13
      HAT-P-17 b             573              9419                  8            1.63e+12              2.68e+13                2.28e+10
      HAT-P-17 c             924              9070                  6            1.04e+16              1.02e+17                6.74e+13
     HD 101581 b              76              9897                 27            5.76e+10              7.50e+12                2.05e+10
     HD 101581 c              76              9904                 20            8.94e+10              1.16e+13                2.35e+10
     HD 102329 b             898              9101                  1            1.05e+15              1.07e+16                1.17e+12
     HD 104067 b             353              9637                 10            9.04e+12              2.47e+14                2.56e+11
     HD 104067 c             165              9822                 13            6.61e+11              3.94e+13                5.21e+10
     HD 110067 b             109              9877                 14            2.45e+11              2.22e+13                3.15e+10
     HD 110067 c             113              9868                 19            4.37e+11              3.81e+13                7.34e+10
     HD 110067 d             132              9852                 16            8.77e+11              6.54e+13                1.06e+11
     HD 110067 e              97              9884                 19            1.11e+12              1.13e+14                2.17e+11
     HD 110067 f             104              9875                 21            1.74e+12              1.65e+14                3.52e+11
     HD 110067 g             131              9854                 15            3.22e+12              2.42e+14                3.69e+11
      HD 11343 c             454              9536                 10            1.38e+14              2.91e+15                3.05e+12
     HD 113538 b             569              9424                  7            3.13e+14              5.19e+15                3.85e+12
     HD 113538 c             822              9177                  1            1.75e+15              1.96e+16                2.13e+12
     HD 114386 b             855              9144                  1            9.16e+14              9.80e+15                1.07e+12
     HD 114386 c             494              9501                  5            1.95e+14              3.75e+15                1.97e+12
     HD 114783 b             781              9218                  1            3.76e+14              4.44e+15                4.82e+11
     HD 114783 c             890              9109                  1            7.97e+15              8.15e+16                8.95e+12
   HD 115404 A b             246              9739                 15            6.82e+11              2.70e+13                4.16e+10
   HD 115404 A c             826              9166                  8            3.82e+16              4.24e+17                3.70e+14
     HD 116029 b             843              9156                  1            8.22e+14              8.93e+15                9.75e+11
     HD 118203 b             834              9165                  1            1.52e+12              1.67e+13                1.82e+09
     HD 118203 c             535              9460                  5            7.56e+15              1.34e+17                7.06e+13
      HD 12661 b             867              9130                  3            2.19e+14              2.31e+15                7.58e+11
      HD 12661 c             901              9098                  1            2.56e+15              2.58e+16                2.84e+12
     HD 128311 b             891              9107                  2            3.75e+14              3.83e+15                8.42e+11
     HD 128311 c             947              9050                  3            1.03e+15              9.81e+15                3.25e+12
      HD 13808 b             154              9832                 14            6.10e+11              3.90e+13                5.55e+10
      HD 13808 c             145              9840                 15            3.39e+12              2.30e+14                3.50e+11
     HD 141399 b             469              9521                 10            2.89e+13              5.87e+14                6.17e+11
     HD 141399 c             756              9242                  2            1.29e+14              1.57e+15                3.40e+11
     HD 141399 d             737              9260                  3            1.15e+15              1.45e+16                4.69e+12
     HD 141399 e             566              9426                  8            5.07e+15              8.44e+16                7.16e+13
     HD 145675 c             975              9021                  4            1.40e+17              1.29e+18                5.73e+14
      HD 15337 b             113              9868                 19            1.11e+11              9.72e+12                1.87e+10
      HD 15337 c             115              9870                 15            6.28e+11              5.39e+13                8.19e+10
     HD 153557 b             206              9786                  8            3.41e+11              1.62e+13                1.32e+10
     HD 153557 c             191              9794                 15            8.43e+11              4.32e+13                6.62e+10
     HD 156668 b              99              9884                 17            8.86e+10              8.85e+12                1.52e+10
     HD 156668 c             259              9730                 11            2.29e+14              8.59e+15                9.71e+12
      HD 15906 b             109              9877                 14            3.16e+11              2.86e+13                4.06e+10
      HD 15906 c             136              9843                 21            9.68e+11              7.01e+13                1.49e+11
       HD 1605 b             604              9390                  6            4.81e+14              7.48e+15                4.78e+12
       HD 1605 c             923              9076                  1            4.25e+15              4.17e+16                4.60e+12
     HD 164604 b             630              9359                 11            4.18e+14              6.22e+15                7.31e+12
     HD 164604 c             835              9158                  7            9.23e+15              1.01e+17                7.74e+13
     HD 176986 b             994              9003                  3            1.41e+12              1.28e+13                4.26e+09
     HD 176986 c             950              9048                  2            4.80e+12              4.57e+13                1.01e+10
     HD 176986 d             118              9867                 15            3.35e+12              2.80e+14                4.26e+11
     HD 177830 b             698              9301                  1            3.25e+14              4.33e+15                4.65e+11
     HD 177830 c             216              9777                  7            2.04e+13              9.24e+14                6.61e+11
      HD 18143 b             142              9846                 12            3.94e+11              2.73e+13                3.33e+10
      HD 18143 c             861              9136                  3            9.47e+16              1.01e+18                3.30e+14
     HD 181433 b             719              9278                  3            1.77e+12              2.28e+13                7.36e+09
     HD 181433 c             977              9020                  3            1.24e+15              1.15e+16                3.82e+12
     HD 181433 d             925              9073                  2            1.50e+16              1.48e+17                3.25e+13
     HD 184010 b             345              9647                  8            1.09e+14              3.05e+15                2.53e+12
     HD 184010 c             340              9648                 12            2.17e+14              6.15e+15                7.65e+12
     HD 184010 d             419              9575                  6            5.53e+14              1.26e+16                7.92e+12
     HD 192310 b             186              9800                 14            6.82e+12              3.59e+14                5.13e+11
     HD 192310 c             224              9768                  8            1.12e+14              4.87e+15                3.99e+12
     HD 202696 b             719              9278                  3            6.31e+14              8.15e+15                2.63e+12
     HD 202696 c             697              9301                  2            1.37e+15              1.83e+16                3.93e+12
      HD 20781 b              84              9890                 26            8.42e+10              9.91e+12                2.61e+10
      HD 20781 c             112              9872                 16            4.04e+11              3.56e+13                5.78e+10
      HD 20781 d             159              9824                 17            1.54e+12              9.54e+13                1.65e+11
      HD 20781 e             185              9802                 13            7.54e+12              4.00e+14                5.30e+11
     HD 215152 b             902              9097                  1            1.07e+12              1.08e+13                1.19e+09
     HD 215152 c             870              9130                  0            1.41e+12              1.48e+13                0.00e+00
     HD 215152 d             912              9086                  2            2.53e+12              2.52e+13                5.54e+09
     HD 215152 e             930              9070                  0            7.92e+12              7.72e+13                0.00e+00
     HD 215497 b             961              9032                  7            8.60e+11              8.09e+12                6.27e+09
     HD 215497 c             522              9473                  5            3.21e+14              5.82e+15                3.07e+12
     HD 216520 b             142              9844                 14            1.99e+12              1.38e+14                1.97e+11
     HD 216520 c             137              9844                 19            1.37e+13              9.83e+14                1.90e+12
      HD 21749 c              98              9886                 16            1.70e+11              1.71e+13                2.77e+10
     HD 219134 b             102              9877                 21            5.49e+10              5.31e+12                1.13e+10
     HD 219134 c             100              9881                 19            1.53e+11              1.51e+13                2.90e+10
     HD 219134 d             185              9802                 13            3.72e+12              1.97e+14                2.61e+11
     HD 219134 f             120              9861                 19            9.20e+11              7.56e+13                1.46e+11
     HD 219134 g             148              9835                 17            7.46e+12              4.96e+14                8.57e+11
     HD 219134 h             469              9521                 10            1.62e+15              3.30e+16                3.46e+13
      HD 23472 b             142              9844                 14            6.87e+11              4.76e+13                6.77e+10
      HD 23472 c              98              9885                 17            9.51e+11              9.59e+13                1.65e+11
      HD 23472 d              68              9911                 21            4.50e+10              6.56e+12                1.39e+10
      HD 23472 e              74              9900                 26            1.23e+11              1.64e+13                4.31e+10
      HD 23472 f              75              9897                 28            2.20e+11              2.91e+13                8.23e+10
      HD 27894 b             625              9370                  5            3.50e+12              5.24e+13                2.80e+10
      HD 27894 c             327              9661                 12            4.59e+12              1.36e+14                1.68e+11
      HD 27894 d             990              9006                  4            1.02e+16              9.27e+16                4.12e+13
       HD 3167 b             102              9878                 20            1.18e+10              1.14e+12                2.31e+09
       HD 3167 c             148              9835                 17            1.67e+12              1.11e+14                1.92e+11
       HD 3167 d              99              9883                 18            2.06e+11              2.06e+13                3.75e+10
       HD 3167 e             125              9862                 13            6.76e+12              5.33e+14                7.03e+11
      HD 33142 b             648              9349                  3            2.68e+14              3.86e+15                1.24e+12
      HD 33142 c             549              9443                  8            7.51e+14              1.29e+16                1.09e+13
      HD 33142 d             260              9727                 13            1.90e+13              7.12e+14                9.51e+11
      HD 33844 b             728              9270                  2            6.67e+14              8.50e+15                1.83e+12
      HD 33844 c             697              9303                  0            1.25e+15              1.67e+16                0.00e+00
      HD 37605 b             914              9084                  2            2.51e+13              2.50e+14                5.50e+10
      HD 37605 c             942              9053                  5            4.72e+15              4.53e+16                2.50e+13
      HD 39194 b             100              9881                 19            1.24e+11              1.23e+13                2.36e+10
      HD 39194 c             118              9865                 17            4.96e+11              4.14e+13                7.14e+10
      HD 39194 d             102              9876                 22            1.39e+12              1.34e+14                2.99e+11
      HD 40307 b             840              9157                  3            6.59e+11              7.18e+12                2.35e+09
      HD 40307 c             945              9052                  3            2.16e+12              2.07e+13                6.86e+09
      HD 40307 d             937              9058                  5            5.86e+12              5.66e+13                3.12e+10
      HD 40307 f             108              9873                 19            2.36e+12              2.16e+14                4.15e+11
      HD 40307 g             120              9864                 16            1.55e+13              1.27e+15                2.06e+12
      HD 45364 b             346              9646                  8            5.72e+13              1.59e+15                1.32e+12
      HD 45364 c             587              9407                  6            1.71e+14              2.74e+15                1.75e+12
       HD 4732 b             807              9191                  2            3.68e+14              4.20e+15                9.13e+11
       HD 4732 c             895              9105                  0            7.16e+15              7.28e+16                0.00e+00
      HD 47366 b             747              9251                  2            3.90e+14              4.83e+15                1.04e+12
      HD 47366 c             653              9344                  3            7.92e+14              1.13e+16                3.64e+12
      HD 48948 b             109              9877                 14            1.66e+11              1.50e+13                2.13e+10
      HD 48948 c             131              9853                 16            1.79e+12              1.34e+14                2.18e+11
      HD 48948 d             161              9823                 16            1.38e+13              8.42e+14                1.37e+12
      HD 69830 b             139              9844                 17            3.07e+11              2.17e+13                3.75e+10
      HD 69830 c             148              9832                 20            1.83e+12              1.22e+14                2.48e+11
      HD 69830 d             186              9800                 14            2.64e+13              1.39e+15                1.99e+12
      HD 73267 b             993              9004                  3            1.77e+15              1.60e+16                5.34e+12
      HD 73267 c             986              9012                  2            5.68e+16              5.20e+17                1.15e+14
      HD 73583 b             149              9831                 20            1.95e+11              1.28e+13                2.61e+10
      HD 73583 c             148              9835                 17            8.18e+11              5.43e+13                9.39e+10
