Host_Name,Number_of_Planets,Distance_pc,Spectral_Type,Temp_K,Stellar_Radius_Sol,Stellar_Mass_Sol,Stellar_Ref
DMPP-1,4,62.5388 +0.1782 -0.1773,F8 V,6196.0 ± 29.0,1.26 ± 0.02,1.21 ± 0.03,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>
DMPP-2,3,137.94 +0.681 -0.675,F5 V,6500.0 ± 100.0,1.78 ± 0.09,1.41 ± 0.04,<a refstr=HASWELL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..408H/abstract target=ref>Haswell et al. 2020</a>
HD 142,3,26.1853 +0.0449 -0.0446,F7V,6245.0 ± 48.0,1.47 ± 0.04,1.21 ± 0.17,<a refstr=WITTENMYER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...753..169W/abstract target=ref> Wittenmyer et al. 2012 </a>
HD 22946,3,62.7792 +0.1161 -0.1156,F7/F8V,6169.0 ± 64.0,1.117 ± 0.009,1.098 +0.04 -0.039,<a refstr=GARAI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...674A..44G/abstract target=ref>Garai et al. 2023</a>
HD 28109,3,139.611 +0.429 -0.427,F8,6189.0 ± 55.0,1.425 +0.048 -0.041,1.227 ± 0.052,<a refstr=BARONE_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...704A..41B/abstract target=ref>Barone et al. 2025</a>
HD 73344,3,35.26 +0.0526 -0.0525,F6 V,6148.0 ± 100.0,1.22 ± 0.03,1.19 ± 0.05,<a refstr=ZHANG_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..200Z/abstract target=ref>Zhang et al. 2025</a>
HIP 41378,6,106.289 +0.676 -0.668,F6,6290.0 ± 77.0,1.3 ± 0.009,1.22 +0.03 -0.02,<a refstr=LUND_ET_AL_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..248L/abstract target=ref>Lund et al. 2019</a>
HR 858,3,31.964 +0.0722 -0.072,F6 V,6354.0 ± 70.0,1.258 ± 0.019,1.204 ± 0.052,<a refstr=BONFANTI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A..90B/abstract target=ref>Bonfanti et al. 2025</a>
Kepler-25,3,243.249 +1.414 -1.397,F8,6354.0 ± 27.0,1.316 +0.016 -0.015,1.165 +0.027 -0.029,<a refstr=BOURRIER_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A..63B/abstract target=ref>Bourrier et al. 2023</a>
TOI-201,3,113.825 +0.347 -0.345,F,6423.0 +86.0 -90.0,1.31 ± 0.01,1.32 +0.02 -0.04,<a refstr=MIRELES_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026SciA...12f2618M/abstract target=ref>Mireles et al. 2026</a>
ups And,3,13.4054 +0.0635 -0.0629,F8 V,6156.7652 ± 112.1565,1.56,1.3,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>
