Host_Name,Number_of_Planets,Distance_pc,Spectral_Type,Temp_K,Stellar_Radius_Sol,Stellar_Mass_Sol,Stellar_Ref
47 UMa,3,13.7967 ± 0.0289,G0V,5872.0 +92.9376 -113.525,1.2133 +0.0389 -0.0584,1.06 +0.1284 -0.1376,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
55 Cnc,7,12.5855 +0.0124 -0.0123,G8 V,5198.0 ± 31.0,0.98 ± 0.016,1.015 ± 0.051,<a refstr=MOUTOU_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...705A.190M/abstract target=ref>Moutou et al. 2026</a>
61 Vir,3,8.5033 +0.0174 -0.0173,G5 V,5577.0 ± 33.0,0.963 ± 0.011,0.942 +0.034 -0.029,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>
CoRoT-7,3,159.906 +0.917 -0.906,G9 V,5250.0 ± 60.0,0.8389 +0.0093 -0.0088,0.915 ± 0.017,<a refstr=JOHN_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.515.3975J/abstract target=ref>John et al. 2022</a>
EPIC 249893012,3,321.296 +4.189 -4.085,G8 IV/V,5430.0 ± 85.0,1.71 ± 0.04,1.05 ± 0.05,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>
HD 10180,6,38.9607 +0.0387 -0.0386,G1 V,5911.0 ± 19.0,1.109 ± 0.036,1.06 ± 0.05,<a refstr=KANE__AMP__GELINO_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...792..111K/abstract target=ref>Kane &amp; Gelino 2014</a>
HD 108236,5,64.5978 +0.1943 -0.1932,G3 V,5660.0 ± 61.0,0.877 ± 0.008,0.869 +0.05 -0.048,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>
HD 11506,3,51.261 +0.1351 -0.1343,G0 V,6123.0 ± 47.0,1.24 ± 0.02,1.22 ± 0.02,<a refstr=RUGGIERI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.235R/abstract target=ref>Ruggieri et al. 2024</a>
HD 125612,3,57.6207 +0.1644 -0.1635,G3 V,5900.0 ± 18.0,1.07 ± 0.02,1.05 ± 0.131,<a refstr=LO_CURTO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..48L/abstract target=ref> Lo Curto et al. 2010 </a>
HD 133131 A,3,51.4736 +0.1491 -0.1483,G2 V,5799.0 ± 19.0,0.955 +0.0374 -0.0521,0.95,<a refstr=TESKE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..167T/abstract target=ref>Teske et al. 2016</a>
HD 133131 B,3,51.2993 +0.1684 -0.1673,G2 V,5805.0 ± 15.0,0.9895 +0.0544 -0.0342,0.93,<a refstr=TESKE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..167T/abstract target=ref>Teske et al. 2016</a>
HD 134606,5,26.7909 +0.0204 -0.0205,G5IV,5576.0 +86.0 -85.0,1.158 +0.039 -0.036,1.046 +0.07 -0.059,<a refstr=LI_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..155L/abstract target=ref>Li et al. 2024</a>
HD 136352,3,14.682 +0.0199 -0.0198,G4 V,5664.0 ± 61.0,1.058 ± 0.019,0.87 ± 0.04,<a refstr=DELREZ_ET_AL_2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs...5..775D/abstract target=ref>Delrez et al. 2021</a>
HD 158259,5,27.0498 ± 0.0215,G0,5801.89 ± 124.625,1.21 +0.03 -0.08,1.08 ± 0.1,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>
HD 160691,4,15.5981 +0.0296 -0.0294,G3 IV-V,5773.0,1.33 ± 0.02,1.13 ± 0.02,<a refstr=BENEDICT_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..295B/abstract target=ref>Benedict et al. 2022</a>
