Host_Name,Number_of_Planets,Distance_pc,Spectral_Type,Temp_K,Stellar_Radius_Sol,Stellar_Mass_Sol,Stellar_Ref
GJ 9827,3,29.661 +0.0543 -0.0541,K7 V,4236.0 ± 12.0,0.58 ± 0.03,0.62 ± 0.04,<a refstr=PIAULET_GHORAYEB_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...974L..10P/abstract target=ref>Piaulet-Ghorayeb et al. 2024</a>
HD 110067,6,32.1585 +0.0572 -0.0569,K0.0 V,5266.0 ± 64.0,0.788 ± 0.008,0.798 ± 0.042,<a refstr=LUQUE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023Natur.623..932L/abstract target=ref>Luque et al. 2023</a>
HD 141399,4,37.0169 +0.033 -0.0329,K0,5600.0 ± 40.0,1.3872 ± 0.0313,1.07 ± 0.08,<a refstr=H_EACUTE_BRARD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.145H/abstract target=ref>H&eacute;brard et al. 2016</a>
HD 153557,3,17.9412 ± 0.0084,K0,4837.0 +96.073 -159.509,0.7452 +0.0634 -0.0398,0.79 ± 0.091,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
HD 176986,3,27.7843 +0.0483 -0.0481,K2.5 V,4931.0 ± 77.0,0.782 ± 0.035,0.789 ± 0.019,<a refstr=NARI_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...705A.252N/abstract target=ref>Nari et al. 2026</a>
HD 181433,3,26.8762 ± 0.0225,K3 IV,4918.0 ± 15.0,0.79 ± 0.01,0.86 ± 0.06,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
HD 184010,3,60.7993 ± 0.2548,K0 III-IV,4971.0,4.86 +0.55 -0.49,1.35 +0.19 -0.21,<a refstr=TENG_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022PASJ...74.1309T/abstract target=ref>Teng et al. 2022</a>
HD 20781,5,35.9715 +0.0527 -0.0526,K0 V,5256.0 ± 29.0,0.8336 +0.0239 -0.0222,0.7,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>
HD 215152,4,21.5974 +0.0488 -0.0485,K3 V,4935.0 ± 76.0,0.73 ± 0.018,0.77 ± 0.015,<a refstr=DELISLE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...614A.133D/abstract target=ref>Delisle et al. 2018</a>
HD 219134,6,6.5313 +0.0038 -0.0039,K3 V,4699.0 ± 16.0,0.778 ± 0.005,0.81 ± 0.03,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>
HD 23472,5,39.0341 +0.0401 -0.04,K4 V,4684.0 ± 99.0,0.71 ± 0.02,0.67 ± 0.03,<a refstr=BARROS_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...665A.154B/abstract target=ref>Barros et al. 2022</a>
HD 27894,3,43.8214 +0.0593 -0.0591,K2 V,4875.0 ± 81.0,0.8918 +0.0149 -0.0239,0.8,<a refstr=MOUTOU_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...439..367M/abstract target=ref> Moutou et al. 2005 </a>
HD 3167,4,47.2899 +0.1485 -0.1475,K0 V,5338.0 +58.0 -60.0,0.871 ± 0.015,0.864 +0.039 -0.034,<a refstr=COY_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026ApJ..1005L..77C/abstract target=ref>Coy et al. 2026</a>
HD 33142,3,121.375 ± 0.5845,K0 III,5025.4 +23.6 -15.5,4.17 +0.03 -0.07,1.52 ± 0.03,<a refstr=TRIFONOV_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..156T/abstract target=ref>Trifonov et al. 2022</a>
HD 39194,3,26.4131 ± 0.0265,K0 V,5205.0 ± 23.0,0.7837 +0.0389 -0.0631,0.86 ± 0.04,<a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>
HD 40307,5,12.9363 +0.0047 -0.0046,K2.5 V,4956.0 ± 50.0,0.7167 +0.0598 -0.0479,0.77 ± 0.05,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>
HD 48948,3,16.9043 +0.019 -0.0189,K3 V,4593.0 ± 60.0,0.679 ± 0.004,0.686 +0.02 -0.013,<a refstr=DALAL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.4464D/abstract target=ref>Dalal et al. 2024</a>
HD 69830,3,12.5591 +0.0097 -0.0096,K0V,5385.0 ± 20.0,0.8869 ± 0.0194,0.86 ± 0.03,<a refstr=LOVIS_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006Natur.441..305L/abstract target=ref> Lovis et al. 2006 </a>
HD 7924,3,16.9922 ± 0.0072,K0.5 V,5131.0 ± 14.0,0.78 ± 0.01,0.65 ± 0.05,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
HIP 57274,3,25.8618 +0.0337 -0.0335,K4 V,4510.0 ± 136.0,0.78 ± 0.05,0.29 ± 0.3,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
K2-136,3,59.2474 +0.1877 -0.1865,K5 V,4500.0 +125.0 -75.0,0.677 ± 0.027,0.742 +0.039 -0.038,<a refstr=MAYO_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..235M/abstract target=ref>Mayo et al. 2023</a>
K2-155,3,72.7998 +0.2864 -0.2841,K7,4258.0 ± 150.0,0.58 +0.06 -0.03,0.65 +0.06 -0.03,<a refstr=D_IACUTE_EZ_ALONSO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.476L..50D/abstract target=ref>D&iacute;ez Alonso et al. 2018</a>
K2-16,3,334.967 ± 4.1785,K3 V,4742.0 ± 60.0,0.66 ± 0.03,0.68 ± 0.03,<a refstr=SINUKOFF_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827...78S/abstract target=ref>Sinukoff et al. 2016</a>
K2-233,3,67.5062 +0.2799 -0.2775,K3,4796.0 ± 66.0,0.71 ± 0.01,0.79 ± 0.01,<a refstr=BARRAG_AMP_AACUTE_N_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.522.3458B/abstract target=ref>Barrag&aacute;n et al. 2023</a>
K2-285,4,154.961 +1.161 -1.144,K2 V,4975.0 ± 95.0,0.787 ± 0.016,0.83 ± 0.023,<a refstr=PALLE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A..41P/abstract target=ref>Palle et al. 2019</a>
Kepler-158,3,315.177 +2.111 -2.083,K,4895.97,0.668 +0.054 -0.059,0.656 +0.073 -0.049,<a refstr=WANG_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.534.1913W/abstract target=ref>Wang et al. 2024</a>
Kepler-167,4,341.908 ± 1.973,K4,4884.0 +69.0 -75.0,0.749 ± 0.02,0.777 +0.034 -0.031,<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>
Kepler-411,4,153.676 +0.455 -0.453,K2 V,4974.0 +46.0 -51.0,0.82 ± 0.018,0.87 ± 0.039,<a refstr=WANG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783....4W/abstract target=ref> Wang et al. 2014 </a>
Kepler-444,5,36.4396 +0.0395 -0.0394,K,5046.0 ± 74.0,0.752 ± 0.014,0.758 ± 0.043,<a refstr=CAMPANTE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...799..170C/abstract target=ref>Campante et al. 2015</a>
Kepler-62,5,300.874 ± 1.219,K2 V,4925.0 ± 70.0,0.64 ± 0.02,0.69 ± 0.02,<a refstr=BORUCKI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...340..587B/abstract target=ref> Borucki et al. 2013 </a>
Kepler-80,6,369.451 ± 2.8945,K5,4540.0 ± 100.0,0.678 ± 0.023,0.83 ± 0.03,<a refstr=SHALLUE__AMP__VANDERBURG_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...94S/abstract target=ref>Shallue &amp; Vanderburg 2018</a>
TOI-1246,4,169.422 +0.673 -0.669,K V,5213.0 +71.0 -67.0,0.8649 +0.0187 -0.0177,0.8889 +0.0303 -0.0302,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>
TOI-125,3,111.059 +0.444 -0.44,K0 V,5320.0 ± 39.0,0.848 ± 0.011,0.859 +0.044 -0.038,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>
TOI-1260,3,73.5977 +0.1607 -0.1601,K6 V,4227.0 ± 85.0,0.672 ± 0.01,0.679 +0.095 -0.057,<a refstr=LAM_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.1437L/abstract target=ref>Lam et al. 2023</a>
TOI-178,6,62.699 +0.2074 -0.2061,K,4316.0 ± 70.0,0.662 ± 0.01,0.647 +0.03 -0.029,<a refstr=LELEU_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...688A.211L/abstract target=ref>Leleu et al. 2024</a>
TOI-2076,4,41.9091 +0.0528 -0.0526,K V,5187.0 +54.0 -53.0,0.758 ± 0.03,0.849 ± 0.026,<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>
TOI-4010,4,177.504 +0.994 -0.982,K V,4960.0 ± 36.0,0.83 ± 0.01,0.88 ± 0.03,<a refstr=KUNIMOTO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166....7K/abstract target=ref>Kunimoto et al. 2023</a>
