Host_Name,Number_of_Planets,Distance_pc,Spectral_Type,Temp_K,Stellar_Radius_Sol,Stellar_Mass_Sol,Stellar_Ref
55 Cnc B,7,12.4773 ± 0.0171,M4.5 V,3286.0 ± 31.0,0.274 ± 0.066,0.26 ± 0.02,<a refstr=MOUTOU_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...705A.190M/abstract target=ref>Moutou et al. 2026</a>
AU Mic,4,9.7221 ± 0.0046,M1 V,3540.0 +120.0 -110.0,0.862 ± 0.052,0.635 +0.04 -0.07,<a refstr=MALLORQUIN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.132M/abstract target=ref>Mallorqu&iacute;n et al. 2024</a>
Barnard's star,4,1.8265 ± 0.001,M3.5-4 V,3195.0 ± 28.0,0.185 ± 0.006,0.162 ± 0.007,<a refstr=GONZALEZ_HERNANDEZ_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...690A..79G/abstract target=ref>Gonz&aacute;lez Hern&aacute;ndez et al. 2024</a>
GJ 1061,3,3.6728 ± 0.0009,M5.5 V,2953.0 ± 98.0,0.156 ± 0.005,0.12 ± 0.01,<a refstr=DREIZLER_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...698A.114D/abstract target=ref>Dreizler et al. 2025</a>
GJ 163,3,15.1285 ± 0.0072,M,3500.0 ± 100.0,0.4097 ± 0.0122,0.4 ± 0.02,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.111T/abstract target=ref> Tuomi et al. 2013 </a>
GJ 180,3,11.9407 ± 0.0045,M3,3371.0,0.413 ± 0.0123,0.43,<a refstr=TUOMI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.1545T/abstract target=ref>Tuomi et al. 2014</a>
GJ 3138,3,28.4712 ± 0.035,M0,3717.0 ± 49.0,0.5 ± 0.03,0.681,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
GJ 3293,4,20.1903 ± 0.0216,M2.5,3466.0 ± 49.0,0.404 ± 0.027,0.42,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
GJ 357,3,9.4418 ± 0.0051,M2.5 V,3505.0 ± 51.0,0.337 ± 0.015,0.342 ± 0.011,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>
GJ 367,3,9.4126 ± 0.0028,M V,3535.0 ± 127.0,0.457 ± 0.015,0.451 ± 0.019,<a refstr=LEE_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260618355L/abstract target=ref>Lee et al. 2026</a>
