Planet_Name,Orbital_Period_Days,Semi_Major_Axis_AU,Planet_Mass_Jup,Mpsini_Jup,Planet_Mass_Earth,Mpsini_Earth,Planet_Radius_Earth,Discovery_Method,Planet_Ref
ups And d,1276.46 ± 0.57,2.5133 ± 0.0008,10.25 +0.7 -3.3,4.132 ± 0.029,3257.7412 +222.4799 -1048.8337,1313.22 ± 9.2167,12.5,Radial Velocity,<a refstr=CURIEL_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...525A..78C/abstract target=ref> Curiel et al. 2011 </a>
ups And b,4.617 ± 0.0,0.0592 ± 0.0,0.6876 ± 0.0044,0.6876 ± 0.0044,218.531 ± 1.3984,218.531 ± 1.3984,14.0,Radial Velocity,<a refstr=CURIEL_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...525A..78C/abstract target=ref> Curiel et al. 2011 </a>
ups And c,241.258 ± 0.064,0.8278 ± 0.0,13.98 +2.3 -5.3,1.981 ± 0.019,4443.2411 +731.0053 -1684.4906,629.595 ± 6.0385,12.3,Radial Velocity,<a refstr=CURIEL_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...525A..78C/abstract target=ref> Curiel et al. 2011 </a>
HD 142 A d,108.453 +0.0902 -0.0882,0.474 +0.021 -0.023,0.26 +0.032 -0.036,0.26 +0.032 -0.036,82.6354 +10.1705 -11.4418,82.6354 +10.1705 -11.4418,10.9,Radial Velocity,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
HD 142 c,10159.6428 +380.8401 -321.7508,9.811 +0.515 -0.52,10.901 +1.278 -0.937,5.3 ± 0.7,3464.6475 +406.1847 -297.8052,1684.4 ± 222.5,12.4,Radial Velocity,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
HD 142 b,351.4339 +0.3746 -0.3777,1.039 +0.046 -0.051,7.1 ± 1.0,1.249 +0.12 -0.13,2256.5817 ± 317.8284,396.9677 +38.1394 -41.3177,12.7,Radial Velocity,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
HR 858 b,3.5853 ± 0.0,0.0489 ± 0.0007,0.0112 ± 0.003,--,3.55 +0.94 -0.96,--,2.004 +0.045 -0.047,Transit,<a refstr=BONFANTI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A..90B/abstract target=ref>Bonfanti et al. 2025</a>
HR 858 c,5.9739 ± 0.0,0.0687 ± 0.0009,0.012,--,3.8,--,1.979 +0.054 -0.051,Transit,<a refstr=BONFANTI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A..90B/abstract target=ref>Bonfanti et al. 2025</a>
HR 858 d,11.2305 ± 0.0,0.1046 ± 0.0014,0.0223 ± 0.005,--,7.1 ± 1.6,--,2.001 +0.063 -0.064,Transit,<a refstr=BONFANTI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A..90B/abstract target=ref>Bonfanti et al. 2025</a>
HD 73344 c,65.94 ± 0.02,0.3388 +0.0042 -0.0043,0.373 +0.022 -0.021,0.373 +0.022 -0.021,118.55 +6.9922 -6.6744,118.55 +6.9922 -6.6744,13.5,Radial Velocity,<a refstr=ZHANG_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..200Z/abstract target=ref>Zhang et al. 2025</a>
