Planet_Name,Orbital_Period_Days,Semi_Major_Axis_AU,Planet_Mass_Jup,Mpsini_Jup,Planet_Mass_Earth,Mpsini_Earth,Planet_Radius_Earth,Discovery_Method,Planet_Ref
tau Cet h,49.41 +0.08 -0.1,0.243 ± 0.003,0.0058 +0.0021 -0.0008,0.0058 +0.0021 -0.0008,1.83 +0.68 -0.26,1.83 +0.68 -0.26,1.19,Radial Velocity,<a refstr=FENG_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..135F/abstract target=ref>Feng et al. 2017</a>
tau Cet f,636.13 +11.7 -47.69,1.334 +0.017 -0.044,0.0124 +0.0033 -0.0043,0.0124 +0.0033 -0.0043,3.93 +1.05 -1.37,3.93 +1.05 -1.37,1.81,Radial Velocity,<a refstr=FENG_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..135F/abstract target=ref>Feng et al. 2017</a>
tau Cet g,20.0 +0.02 -0.01,0.133 +0.001 -0.002,0.0055 +0.0008 -0.0013,0.0055 +0.0008 -0.0013,1.75 +0.25 -0.4,1.75 +0.25 -0.4,1.18,Radial Velocity,<a refstr=FENG_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..135F/abstract target=ref>Feng et al. 2017</a>
HD 20794 b,18.314 ± 0.0022,0.1257 ± 0.0005,0.0085 ± 0.0009,0.0068 ± 0.0005,2.7 ± 0.3,2.15 ± 0.17,1.45,Radial Velocity,<a refstr=NARI_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A.297N/abstract target=ref>Nari et al. 2025</a>
HD 20794 e,147.02 +1.43 -0.91,0.509 ± 0.006,0.015 +0.003 -0.0027,0.015 +0.003 -0.0027,4.77 +0.96 -0.86,4.77 +0.96 -0.86,2.03,Radial Velocity,<a refstr=FENG_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...605A.103F/abstract target=ref>Feng et al. 2017</a>
HD 20794 d,89.68 ± 0.1,0.3625 +0.0015 -0.0016,0.015 ± 0.002,0.0094 ± 0.0009,4.8 ± 0.6,2.98 ± 0.29,2.04,Radial Velocity,<a refstr=NARI_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A.297N/abstract target=ref>Nari et al. 2025</a>
HD 20794 f,647.6 +2.5 -2.7,1.3541 ± 0.0068,0.0183 ± 0.0018,0.0183 ± 0.0018,5.82 ± 0.57,5.82 ± 0.57,2.28,Radial Velocity,<a refstr=NARI_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A.297N/abstract target=ref>Nari et al. 2025</a>
61 Vir d,123.01 ± 0.55,0.476 ± 0.001,0.072 ± 0.008,0.072 ± 0.008,22.9 ± 2.6,22.9 ± 2.6,5.11,Radial Velocity,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>
61 Vir c,38.021 ± 0.034,0.2175 ± 0.0001,0.057 ± 0.003,0.057 ± 0.003,18.2 ± 1.1,18.2 ± 1.1,4.46,Radial Velocity,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>
61 Vir b,4.215 ± 0.0006,0.0502 ± 0.0,0.016 ± 0.002,0.016 ± 0.002,5.1 ± 0.5,5.1 ± 0.5,2.11,Radial Velocity,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>
