           Estrella  Planetas_en_Sistema  Distancia(pc) Tipo_Espectral      Temp_K  Radio_Sol  Masa_Sol                                                                                                                                                   Ref_Estrella
             47 UMa                    3       13.79670            G0V 5872.000000   1.213340  1.060000                                         <a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
             55 Cnc                    7       12.58550           G8 V 5198.000000   0.980000  1.015000                              <a refstr=MOUTOU_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...705A.190M/abstract target=ref>Moutou et al. 2026</a>
             61 Vir                    3        8.50332           G5 V 5577.000000   0.963000  0.942000                               <a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>
             75 Cet                    2       82.96130         G3 III 4809.000000  10.380000  1.920000                                  <a refstr=TENG_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023PASJ...75.1030T/abstract target=ref>Teng et al. 2023</a>
           CoRoT-20                    2      844.06100           G2 V 5880.000000   1.020000  1.140000                             <a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
            CoRoT-7                    3      159.90600           G9 V 5250.000000   0.838900  0.915000                                  <a refstr=JOHN_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.515.3975J/abstract target=ref>John et al. 2022</a>
     EPIC 220674823                    2      244.59000           G5 V 5578.000000   0.990000  0.913000                         <a refstr=GUENTHER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.529..141G/abstract target=ref>Guenther et al. 2024</a>
     EPIC 249893012                    3      321.29600        G8 IV/V 5430.000000   1.710000  1.050000                           <a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>
           HAT-P-13                    2      246.81000             G4 5653.000000   1.756000  1.320000         <a refstr=YALCINKAYA_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.530.2475Y/abstract target=ref>Yal&ccedil;&#x131;nkaya et al. 2024</a>
           HD 10180                    6       38.96070           G1 V 5911.000000   1.109000  1.060000                     <a refstr=KANE__AMP__GELINO_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...792..111K/abstract target=ref>Kane &amp; Gelino 2014</a>
          HD 107148                    2       49.41560           G5 V 5752.916644   1.169193  1.105215                       <a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>
          HD 108236                    5       64.59780           G3 V 5660.000000   0.877000  0.869000                         <a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>
          HD 108874                    2       59.51750             G5 5600.000000   1.050000  1.100000                           <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
          HD 109271                    2       55.87160           G5 V 5783.000000   1.294595  1.047000                     <a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>
          HD 110113                    2      106.30700              G 5732.000000   0.968000  0.997000                             <a refstr=OSBORN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.4842O/abstract target=ref>Osborn et al. 2021</a>
          HD 111232                    2       28.95710           G8 V 5512.000000   0.900000  0.960000                           <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
           HD 11506                    3       51.26100           G0 V 6123.000000   1.240000  1.220000                         <a refstr=RUGGIERI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.235R/abstract target=ref>Ruggieri et al. 2024</a>
           HD 11964                    2       33.53690      G9 V CN+1 5303.000000   2.009710  0.910000                                         <a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
          HD 125612                    3       57.62070           G3 V 5900.000000   1.070000  1.050000                     <a refstr=LO_CURTO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..48L/abstract target=ref> Lo Curto et al. 2010 </a>
        HD 133131 A                    3       51.47360           G2 V 5799.000000   0.955014  0.950000                               <a refstr=TESKE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..167T/abstract target=ref>Teske et al. 2016</a>
        HD 133131 B                    3       51.29930           G2 V 5805.000000   0.989538  0.930000                               <a refstr=TESKE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..167T/abstract target=ref>Teske et al. 2016</a>
