      Estrella  Planetas_en_Sistema  Distancia(pc) Tipo_Espectral      Temp_K  Radio_Sol  Masa_Sol                                                                                                                                                        Ref_Estrella
        14 Her                    2       17.93230             K0 5338.000000   0.930000  0.970000                                <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
        24 Sex                    2       72.06910          K0 IV 5098.000000   4.900000  1.540000                              <a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>
         7 CMa                    2       19.81010      K1III(+M) 4826.000000   4.870000  1.340000                                    <a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A.136L/abstract target=ref>Luque et al. 2019</a>
    BD-06 1339                    2       20.26950        K7/M0 V 4324.000000   0.686355  0.700000                          <a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>
    BD-08 2823                    2       41.33420           K3 V 4816.000000   0.710000  0.500000                                <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
    BD-11 4672                    2       27.16650            K7V 4550.000000   0.639000  0.651000                                <a refstr=BARBATO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...641A..68B/abstract target=ref>Barbato et al. 2020</a>
     BD-210397                    2       23.73240           K7 V 4051.000000   0.747000  0.679000                                 <a refstr=FRENSCH_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.173F/abstract target=ref>Frensch et al. 2023</a>
      CoRoT-24                    2      591.55500           K1 V 4950.000000   0.860000  0.910000                                 <a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>
EPIC 212737443                    2      336.25000             K3 4684.000000   0.673000  0.690000                                  <a refstr=HERATH_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.488..536H/abstract target=ref>Herath et al. 2019</a>
        GJ 143                    2       16.32000           K4.5 4640.000000   0.695000  0.730000                              <a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>
      GJ 414 A                    2       11.88930           K7 V 4120.000000   0.680000  0.650000                                <a refstr=DEDRICK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...86D/abstract target=ref>Dedrick et al. 2021</a>
       GJ 9827                    3       29.66100           K7 V 4236.000000   0.580000  0.620000              <a refstr=PIAULET_GHORAYEB_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...974L..10P/abstract target=ref>Piaulet-Ghorayeb et al. 2024</a>
      HAT-P-11                    2       37.76470             K4 4653.000000   0.683000  0.811000                              <a refstr=BOURRIER_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A..63B/abstract target=ref>Bourrier et al. 2023</a>
