Planet,Stable Zones,Unstable Zones,Col. m1 Zones,Col. m2 Zones,Stable Area,Unstable Area,Col. m2 Area
DMPP-1 b,149,9829,0,22,10.8,713.0,1.6
DMPP-1 c,120,9863,0,17,4.07,334.0,0.576
DMPP-1 d,89,9887,0,24,0.636,70.6,0.171
DMPP-1 e,89,9888,0,23,1.35,150.0,0.349
DMPP-2 b,447,9542,0,11,7.05,151.0,0.174
DMPP-2 c,246,9739,0,15,2.02,80.0,0.123
DMPP-2 d,328,9660,0,12,24.1,709.0,0.881
HD 142 A d,336,9652,0,12,270.0,7770.0,9.65
HD 142 b,1005,8990,0,5,3880.0,34800.0,19.3
HD 22946 d,201,9791,0,8,63.0,3070.0,2.51
TOI-411 b,142,9844,0,14,1.67,116.0,0.164
TOI-411 c,119,9864,0,17,4.41,365.0,0.63
HD 28109 b,98,9886,0,16,6.46,652.0,1.06
HD 28109 c,111,9874,0,15,37.7,3350.0,5.1
HD 28109 d,96,9888,0,16,58.1,5980.0,9.68
HD 50554 c,98,9884,0,18,1.49,150.0,0.274
HD 50554 d,125,9863,0,12,15.0,1180.0,1.44
HD 73344 b,118,9864,0,18,7.25,606.0,1.11
HD 73344 c,408,9585,0,7,168.0,3940.0,2.88
HIP 41378 b,101,9880,0,19,6.14,601.0,1.16
HIP 41378 c,97,9884,0,19,15.2,1550.0,2.98
HIP 41378 d,100,9883,0,17,490.0,48400.0,83.3
HIP 41378 e,103,9874,0,23,171.0,16300.0,38.1
HIP 41378 f,185,9803,0,12,1290.0,68200.0,83.5
HR 858 b,87,9889,0,24,0.744,84.6,0.205
HR 858 c,87,9896,0,17,1.47,167.0,0.287
HR 858 d,102,9879,0,19,4.0,387.0,0.744
Kepler-25 b,111,9875,0,14,1.92,171.0,0.242
Kepler-25 c,146,9837,0,17,6.52,439.0,0.76
Kepler-25 d,320,9671,0,9,199.0,6010.0,5.59
TOI-201 b,451,9537,0,12,148.0,3140.0,3.95
TOI-201 d,95,9886,0,19,1.66,172.0,0.331
ups And b,525,9472,0,3,6.59,119.0,0.0377
ups And c,863,9133,0,4,2120.0,22400.0,9.81
