  Estrella  Planetas_en_Sistema  Distancia(pc) Tipo_Espectral      Temp_K  Radio_Sol  Masa_Sol                                                                                                                                       Ref_Estrella
    DMPP-1                    4        62.5388           F8 V 6196.000000   1.260000    1.2100                   <a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>
    DMPP-2                    3       137.9400           F5 V 6500.000000   1.780000    1.4100               <a refstr=HASWELL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..408H/abstract target=ref>Haswell et al. 2020</a>
   HAT-P-2                    2       127.7740             F8 6380.000000   1.390000    1.3300                     <a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>
 HD 106315                    2       109.3530           F5 V 6327.000000   1.296000    1.0910                 <a refstr=BARROS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..25B/abstract target=ref>Barros et al. 2017</a>
 HD 113337                    2        36.1800           F6 V 6774.000000   1.500000    1.4100             <a refstr=BORGNIET_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..44B/abstract target=ref>Borgniet et al. 2019</a>
  HD 13908                    2        79.5515           F8 V 6255.000000   1.670000    1.2900             <a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A..22M/abstract target=ref> Moutou et al. 2014 </a>
    HD 142                    3        26.1853            F7V 6245.000000   1.470000    1.2100       <a refstr=WITTENMYER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...753..169W/abstract target=ref> Wittenmyer et al. 2012 </a>
 HD 148164                    2        77.1971             F8 6032.000000   1.340000    1.2100                     <a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>
 HD 169830                    2        37.6048           F8 V 6300.000000   1.935709    1.1700                   <a refstr=NAEF_ET_AL__2001 href=https://ui.adsabs.harvard.edu/abs/2001A&A...375..205N/abstract target=ref> Naef et al. 2001 </a>
 HD 217786                    2        55.4847           F8 V 5966.000000   1.270000    1.1400                     <a refstr=XIAO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023RAA....23e5022X/abstract target=ref>Xiao et al. 2023</a>
  HD 22946                    3        62.7792         F7/F8V 6169.000000   1.117000    1.0980                   <a refstr=GARAI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...674A..44G/abstract target=ref>Garai et al. 2023</a>
  HD 23079                    2        33.4591         F9.5 V 5994.000000   1.080000    1.1600                <a refstr=DELISLE_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...703A..78D/abstract target=ref>Delisle et al. 2025</a>
  HD 28109                    3       139.6110             F8 6189.000000   1.425000    1.2270                  <a refstr=BARONE_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...704A..41B/abstract target=ref>Barone et al. 2025</a>
   HD 5278                    2        57.5846            F V 6203.000000   1.194000    1.1260             <a refstr=SOZZETTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...648A..75S/abstract target=ref>Sozzetti et al. 2021</a>
  HD 60532                    2        25.9716          F6 IV 6245.000000   2.570000    1.5000             <a refstr=BORGNIET_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...599A..57B/abstract target=ref>Borgniet et al. 2017</a>
  HD 67087                    2        76.5217           F8 V 6330.000000   1.550000    1.3600             <a refstr=HARAKAWA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806....5H/abstract target=ref>Harakawa et al. 2015</a>
  HD 73344                    3        35.2600           F6 V 6148.000000   1.220000    1.1900                    <a refstr=ZHANG_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..200Z/abstract target=ref>Zhang et al. 2025</a>
  HD 75898                    2        78.0505           F8 V 6122.000000   1.550000    1.2950             <a refstr=RUGGIERI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.235R/abstract target=ref>Ruggieri et al. 2024</a>
 HIP 41378                    6       106.2890             F6 6320.000000   1.273000    1.1600                 <a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>
    HR 858                    3        31.9640           F6 V 6354.000000   1.258000    1.2040             <a refstr=BONFANTI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A..90B/abstract target=ref>Bonfanti et al. 2025</a>
    KELT-6                    2       240.7260             F8 6102.000000   1.730000    1.4200               <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
   KOI-134                    2      1159.2100            F9V 6160.000000   1.667000    1.4070                  <a refstr=NABBIE_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025NatAs...9.1317N/abstract target=ref>Nabbie et al. 2025</a>
Kepler-117                    2      1455.5700           F8 V 6150.000000   1.606000    1.1290                   <a refstr=BRUNO_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...573A.124B/abstract target=ref>Bruno et al. 2015</a>
 Kepler-25                    3       243.2490             F8 6354.000000   1.316000    1.1650             <a refstr=BOURRIER_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A..63B/abstract target=ref>Bourrier et al. 2023</a>
TOI-1338 A                    2       399.0170             F8 5723.200000   1.313000    1.0936                                                      <a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>
  TOI-1408                    2       139.4840           F8 V 6117.000000   1.530000    1.3120                    <a refstr=KORTH_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...971L..28K/abstract target=ref>Korth et al. 2024</a>
  TOI-1670                    2       168.0670           F7 V 6170.000000   1.316000    1.2100                      <a refstr=TRAN_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..225T/abstract target=ref>Tran et al. 2022</a>
   TOI-201                    3       113.8250              F 6423.000000   1.310000    1.3200                <a refstr=MIRELES_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026SciA...12f2618M/abstract target=ref>Mireles et al. 2026</a>
  TOI-2458                    2       112.9580        F9-F9.5 6005.000000   1.310000    1.0500           <a refstr=SUBJAK_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A.235S/abstract target=ref>&Scaron;ubjak et al. 2025</a>
  TOI-4562                    2       339.6050           F7 V 6096.000000   1.152000    1.1920            <a refstr=HEITZMANN_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..121H/abstract target=ref>Heitzmann et al. 2023</a>
  TOI-5126                    2       160.4140            F V 6150.000000   1.241000    1.2400        <a refstr=FAIRNINGTON_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.8768F/abstract target=ref>Fairnington et al. 2024</a>
  TOI-6695                    2       282.5360        F5V-G0V 6400.000000   1.517000    1.3380           <a refstr=EBERHARDT_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..298E/abstract target=ref>Eberhardt et al. 2025</a>
   WASP-18                    2       123.4830        F6 IV-V 6400.000000   1.230000    1.2200                             <a refstr=PEARSON_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..243P/abstract target=ref>Pearson 2019</a>
 WASP-94 A                    2       211.2110             F8 6170.000000   1.480000    1.6700               <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
 WASP-94 B                    2       208.6960             F9 6040.000000   1.350000    1.2400 <a refstr=NEVEU_VANMALLE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...572A..49N/abstract target=ref>Neveu-VanMalle et al. 2014</a>
   ups And                    3        13.4054           F8 V 6156.765216   1.560000    1.3000           <a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>

  Estrella      Planeta  Periodo(Dias)  Semi_Eje(UA)  Masa(Jup)  Mp_sin_i(Jup)  Masa(Tierra)  Mp_sin_i(Tierra)  Radio(Tierra)                    Metodo                                                                                                                                         Referencia
   ups And    ups And c     241.258000      0.827774  13.980000       1.981000   4443.241130        629.595000      12.300000           Radial Velocity               <a refstr=CURIEL_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...525A..78C/abstract target=ref> Curiel et al. 2011 </a>
   ups And    ups And d    1276.460000      2.513290  10.250000       4.132000   3257.741172       1313.220000      12.500000           Radial Velocity               <a refstr=CURIEL_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...525A..78C/abstract target=ref> Curiel et al. 2011 </a>
   ups And    ups And b       4.617033      0.059222   0.687600       0.687600    218.531000        218.531000      14.000000           Radial Velocity               <a refstr=CURIEL_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...525A..78C/abstract target=ref> Curiel et al. 2011 </a>
  HD 60532   HD 60532 c     600.100000      1.600000   2.510000       2.510000    797.753300        797.753300      13.300000           Radial Velocity             <a refstr=BORGNIET_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...599A..57B/abstract target=ref>Borgniet et al. 2017</a>
  HD 60532   HD 60532 b     201.900000      0.770000   1.060000       1.060000    336.899800        336.899800      13.800000           Radial Velocity             <a refstr=BORGNIET_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...599A..57B/abstract target=ref>Borgniet et al. 2017</a>
    HD 142     HD 142 c   10159.642790      9.811000  10.901000       5.300000   3464.647465       1684.400000      12.400000           Radial Velocity                     <a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
    HD 142     HD 142 b     351.433940      1.039000   7.100000       1.249000   2256.581690        396.967680      12.700000           Radial Velocity                     <a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
    HD 142   HD 142 A d     108.452990      0.474000   0.260000       0.260000     82.635386         82.635386      10.900000           Radial Velocity                     <a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
    HR 858     HR 858 c       5.973865      0.068700   0.011956            NaN      3.800000               NaN       1.979000                   Transit             <a refstr=BONFANTI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A..90B/abstract target=ref>Bonfanti et al. 2025</a>
    HR 858     HR 858 b       3.585287      0.048880   0.011170            NaN      3.550000               NaN       2.004000                   Transit             <a refstr=BONFANTI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A..90B/abstract target=ref>Bonfanti et al. 2025</a>
    HR 858     HR 858 d      11.230511      0.104600   0.022339            NaN      7.100000               NaN       2.001000                   Transit             <a refstr=BONFANTI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A..90B/abstract target=ref>Bonfanti et al. 2025</a>
  HD 23079   HD 23079 b     735.740000      1.600000   2.660000       2.660000    845.423563        845.423563      13.200000           Radial Velocity                <a refstr=DELISLE_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...703A..78D/abstract target=ref>Delisle et al. 2025</a>
  HD 23079   HD 23079 c       5.748913           NaN   0.025989       0.025989      8.260000          8.260000       2.800000           Radial Velocity                <a refstr=DELISLE_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...703A..78D/abstract target=ref>Delisle et al. 2025</a>
  HD 73344   HD 73344 c      65.940000      0.338800   0.373000       0.373000    118.549996        118.549996      13.500000           Radial Velocity                    <a refstr=ZHANG_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..200Z/abstract target=ref>Zhang et al. 2025</a>
  HD 73344   HD 73344 d    5823.000000      6.700000   2.550000       2.210000    810.462438        702.400779      13.200000           Radial Velocity                    <a refstr=ZHANG_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..200Z/abstract target=ref>Zhang et al. 2025</a>
  HD 73344   HD 73344 b      15.611000      0.131000   0.032974            NaN     10.480000               NaN       2.884000                   Transit                    <a refstr=SULIS_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...688A..14S/abstract target=ref>Sulis et al. 2024</a>
 HD 113337  HD 113337 b     317.586390      1.022000   3.259000       3.259000   1035.802778       1035.802778      13.100000           Radial Velocity                     <a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
 HD 169830  HD 169830 b     225.673720      0.765000   2.531000       2.531000    804.423698        804.423698      13.200000           Radial Velocity                     <a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
 HD 169830  HD 169830 c    1818.823390      3.075000   7.669000       3.540000   2437.426053       1125.118200      12.600000           Radial Velocity                     <a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
 HD 217786  HD 217786 c       2.522210      0.038000   0.023000       0.023000      7.310053          7.310053       2.610000           Radial Velocity                     <a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
   HD 5278    HD 5278 b      14.339156      0.120200   0.024542            NaN      7.800000               NaN       2.450000                   Transit             <a refstr=SOZZETTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...648A..75S/abstract target=ref>Sozzetti et al. 2021</a>
   HD 5278    HD 5278 c      40.870000      0.241600   0.057893       0.057893     18.400000         18.400000       4.490000           Radial Velocity             <a refstr=SOZZETTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...648A..75S/abstract target=ref>Sozzetti et al. 2021</a>
    DMPP-1     DMPP-1 c      10.030000      0.097300   0.034421       0.034421     10.940000         10.940000       3.310000           Radial Velocity              <a refstr=STANDING_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260218207S/abstract target=ref>Standing et al. 2026</a>
    DMPP-1     DMPP-1 b      17.812000      0.142300   0.052859       0.052859     16.800000         16.800000       4.260000           Radial Velocity              <a refstr=STANDING_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260218207S/abstract target=ref>Standing et al. 2026</a>
    DMPP-1     DMPP-1 e       5.516000      0.065100   0.012994       0.012994      4.130000          4.130000       1.860000           Radial Velocity                   <a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>
    DMPP-1     DMPP-1 d       3.141700      0.044670   0.014851       0.014851      4.720000          4.720000       2.020000           Radial Velocity              <a refstr=STANDING_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260218207S/abstract target=ref>Standing et al. 2026</a>
  HD 22946   HD 22946 d      47.424890      0.295800   0.083599            NaN     26.570000               NaN       2.607000                   Transit                   <a refstr=GARAI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...674A..44G/abstract target=ref>Garai et al. 2023</a>
  HD 22946    TOI-411 b       4.040295      0.057270   0.043136            NaN     13.710000               NaN       1.362000                   Transit                   <a refstr=GARAI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...674A..44G/abstract target=ref>Garai et al. 2023</a>
  HD 22946    TOI-411 c       9.573083      0.101700   0.030583            NaN      9.720000               NaN       2.328000                   Transit                   <a refstr=GARAI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...674A..44G/abstract target=ref>Garai et al. 2023</a>
  HD 67087   HD 67087 c    2374.000000      3.860000   4.850000       4.850000   1540.000000       1540.000000      12.900000           Radial Velocity             <a refstr=HARAKAWA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806....5H/abstract target=ref>Harakawa et al. 2015</a>
  HD 67087   HD 67087 b     352.200000      1.080000   3.060000       3.060000    973.000000        973.000000      13.100000           Radial Velocity             <a refstr=HARAKAWA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806....5H/abstract target=ref>Harakawa et al. 2015</a>
 HD 148164  HD 148164 b     328.550000      0.993000   1.230000       1.230000    390.930900        390.930900      13.700000           Radial Velocity                     <a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>
