Estrella,Planeta,Periodo(Dias),Semi_Eje(UA),Masa(Jup),Mp_sin_i(Jup),Masa(Tierra),Mp_sin_i(Tierra),Radio(Tierra),Metodo,Referencia
Barnard's star,Barnard d,2.3402,0.0188,0.000827490539572821,0.000827490539572821,0.263,0.263,0.694,Radial Velocity,<a refstr=BASANT_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...982L...1B/abstract target=ref>Basant et al. 2025</a>
Barnard's star,Barnard e,6.7392,0.0381,0.000607245909268268,0.000607245909268268,0.193,0.193,0.637,Radial Velocity,<a refstr=BASANT_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...982L...1B/abstract target=ref>Basant et al. 2025</a>
Barnard's star,Barnard b,3.1542,0.0229,0.00094075920658659,0.00094075920658659,0.299,0.299,0.72,Radial Velocity,<a refstr=BASANT_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...982L...1B/abstract target=ref>Basant et al. 2025</a>
Barnard's star,Barnard c,4.1244,0.0274,0.00105402787360036,0.00105402787360036,0.335,0.335,0.743,Radial Velocity,<a refstr=BASANT_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...982L...1B/abstract target=ref>Basant et al. 2025</a>
GJ 887,GJ 887 b,9.2619,0.0683,0.0122707722598251,0.0122707722598251,3.9,3.9,1.8,Radial Velocity,<a refstr=HARTOGH_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A..93H/abstract target=ref>Hartogh et al. 2026</a>
GJ 887,GJ 887 d,50.77,0.212,0.019192746355111,0.019192746355111,6.1,6.1,2.34,Radial Velocity,<a refstr=HARTOGH_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A..93H/abstract target=ref>Hartogh et al. 2026</a>
GJ 887,GJ 887 c,21.784,0.121,0.0204512870997085,0.0204512870997085,6.5,6.5,2.43,Radial Velocity,<a refstr=HARTOGH_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A..93H/abstract target=ref>Hartogh et al. 2026</a>
GJ 887,GJ 887 e,4.4249,0.0417,0.00459367371778068,0.00459367371778068,1.46,1.46,1.12,Radial Velocity,<a refstr=HARTOGH_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A..93H/abstract target=ref>Hartogh et al. 2026</a>
GJ 1061,GJ 1061 b,3.2073,0.021,0.00349245056625791,0.00431048044552119,1.11,1.37,1.04,Radial Velocity,<a refstr=DREIZLER_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...698A.114D/abstract target=ref>Dreizler et al. 2025</a>
GJ 1061,GJ 1061 c,6.6821,0.0342,0.00569489686930344,0.00547462479942107,1.81,1.74,1.19,Radial Velocity,<a refstr=DREIZLER_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...698A.114D/abstract target=ref>Dreizler et al. 2025</a>
