Planeta,Zonas Estables,Zonas Inestables,Zonas Colisión m1,Zonas Colisión m2,Área Estable (km²),Área Inestable (km²),Área Colisión m2 (km²)
DMPP-1 b,149,9829,0,22,1080000000000.0,71300000000000.0,160000000000.0
DMPP-1 c,120,9863,0,17,407000000000.0,33400000000000.0,57600000000.0
DMPP-1 d,89,9887,0,24,63600000000.0,7060000000000.0,17100000000.0
DMPP-1 e,89,9888,0,23,135000000000.0,15000000000000.0,34900000000.0
DMPP-2 b,447,9542,0,11,705000000000.0,15100000000000.0,17400000000.0
DMPP-2 c,246,9739,0,15,202000000000.0,8000000000000.0,12300000000.0
DMPP-2 d,328,9660,0,12,2410000000000.0,70900000000000.0,88100000000.0
HD 142 A d,336,9652,0,12,27000000000000.0,777000000000000.0,965000000000.0
HD 142 b,1005,8990,0,5,388000000000000.0,3480000000000000.0,1930000000000.0
HD 22946 d,201,9791,0,8,6300000000000.0,307000000000000.0,251000000000.0
HD 28109 b,98,9886,0,16,646000000000.0,65200000000000.0,106000000000.0
HD 28109 c,111,9874,0,15,3770000000000.0,335000000000000.0,510000000000.0
HD 28109 d,96,9888,0,16,5810000000000.0,598000000000000.0,968000000000.0
HD 50554 c,98,9884,0,18,149000000000.0,15000000000000.0,27400000000.0
HD 50554 d,125,9863,0,12,1500000000000.0,118000000000000.0,144000000000.0
HD 73344 b,118,9864,0,18,725000000000.0,60600000000000.0,111000000000.0
HD 73344 c,408,9585,0,7,16800000000000.0,394000000000000.0,288000000000.0
HIP 41378 b,101,9880,0,19,614000000000.0,60100000000000.0,116000000000.0
HIP 41378 c,97,9884,0,19,1520000000000.0,155000000000000.0,298000000000.0
HIP 41378 d,100,9883,0,17,49000000000000.0,4840000000000000.0,8330000000000.0
HIP 41378 e,103,9874,0,23,17100000000000.0,1630000000000000.0,3810000000000.0
HIP 41378 f,185,9803,0,12,129000000000000.0,6820000000000000.0,8350000000000.0
HR 858 b,87,9889,0,24,74400000000.0,8460000000000.0,20500000000.0
HR 858 c,87,9896,0,17,147000000000.0,16700000000000.0,28700000000.0
HR 858 d,102,9879,0,19,400000000000.0,38700000000000.0,74400000000.0
Kepler-25 b,111,9875,0,14,192000000000.0,17100000000000.0,24200000000.0
Kepler-25 c,146,9837,0,17,652000000000.0,43900000000000.0,76000000000.0
Kepler-25 d,320,9671,0,9,19900000000000.0,601000000000000.0,559000000000.0
TOI-201 b,451,9537,0,12,14800000000000.0,314000000000000.0,395000000000.0
TOI-201 d,95,9886,0,19,166000000000.0,17200000000000.0,33100000000.0
TOI-411 b,142,9844,0,14,167000000000.0,11600000000000.0,16400000000.0
TOI-411 c,119,9864,0,17,441000000000.0,36500000000000.0,63000000000.0
ups And b,525,9472,0,3,659000000000.0,11900000000000.0,3770000000.0
ups And c,863,9133,0,4,212000000000000.0,2240000000000000.0,981000000000.0
