         Planeta  Zonas Estables  Zonas Inestables  Zonas Colisión m1  Zonas Colisión m2  Área Estable (km²)  Área Inestable (km²)  Área Colisión m2 (km²)
        47 UMa b             908              9092                  0                  0            1.43e+15              1.44e+16                0.00e+00
        47 UMa c             517              9476                  0                  7            2.40e+15              4.40e+16                3.25e+13
        47 UMa d             823              9176                  0                  1            3.97e+16              4.42e+17                4.82e+13
        55 Cnc b             642              9353                  0                  5            3.20e+12              4.66e+13                2.49e+10
        55 Cnc c             298              9696                  0                  6            6.51e+12              2.12e+14                1.31e+11
        55 Cnc d             906              9093                  0                  1            1.02e+16              1.02e+17                1.12e+13
        55 Cnc e             113              9868                  0                 19            9.65e+09              8.42e+11                1.62e+09
        55 Cnc f             271              9722                  0                  7            6.24e+13              2.24e+15                1.61e+12
        61 Vir b             101              9880                  0                 19            9.11e+10              8.92e+12                1.71e+10
        61 Vir c             183              9798                  0                 19            3.10e+12              1.66e+14                3.22e+11
        61 Vir d             201              9793                  0                  6            1.63e+13              7.95e+14                4.87e+11
       CoRoT-7 b              95              9886                  0                 19            9.85e+09              1.02e+12                1.97e+09
       CoRoT-7 c             120              9865                  0                 15            9.09e+10              7.47e+12                1.14e+10
EPIC 249893012 b             116              9869                  0                 15            9.18e+10              7.81e+12                1.19e+10
EPIC 249893012 c             149              9831                  0                 20            9.02e+11              5.95e+13                1.21e+11
EPIC 249893012 d             124              9864                  0                 12            2.15e+12              1.71e+14                2.08e+11
      HD 10180 c             980              9017                  0                  3            1.44e+12              1.33e+13                4.42e+09
      HD 10180 d             691              9306                  0                  3            4.09e+12              5.51e+13                1.78e+10
      HD 10180 e             200              9791                  0                  9            5.22e+12              2.55e+14                2.35e+11
      HD 10180 f             191              9795                  0                 14            1.66e+13              8.52e+14                1.22e+12
      HD 10180 g             740              9253                  0                  7            5.40e+14              6.75e+15                5.10e+12
      HD 10180 h             319              9673                  0                  8            1.31e+15              3.96e+16                3.27e+13
     HD 108236 b              89              9886                  0                 25            6.53e+10              7.25e+12                1.83e+10
     HD 108236 c             101              9882                  0                 17            1.39e+11              1.36e+13                2.34e+10
     HD 108236 e             136              9846                  0                 18            9.10e+11              6.59e+13                1.20e+11
     HD 108236 f             101              9881                  0                 18            1.12e+12              1.09e+14                1.99e+11
      HD 11506 b             931              9069                  0                  0            2.77e+15              2.70e+16                0.00e+00
      HD 11506 c             415              9577                  0                  8            8.83e+13              2.04e+15                1.70e+12
      HD 11506 d             830              9166                  0                  4            9.84e+16              1.09e+18                4.74e+14
     HD 125612 b             919              9079                  0                  2            5.99e+14              5.92e+15                1.30e+12
     HD 125612 c             156              9828                  0                 16            1.45e+11              9.15e+12                1.49e+10
     HD 125612 d             841              9156                  0                  3            4.78e+15              5.20e+16                1.70e+13
   HD 133131 A b             813              9185                  0                  2            6.04e+14              6.82e+15                1.49e+12
   HD 133131 A c             482              9512                  0                  6            3.48e+15              6.87e+16                4.33e+13
   HD 133131 B b             915              9084                  0                  1            1.24e+16              1.23e+17                1.35e+13
     HD 134606 b             118              9866                  0                 16            4.62e+11              3.87e+13                6.27e+10
     HD 134606 c             133              9853                  0                 14            4.31e+12              3.19e+14                4.53e+11
     HD 134606 d             266              9723                  0                 11            3.59e+14              1.31e+16                1.48e+13
     HD 134606 e              81              9894                  0                 25            8.06e+10              9.84e+12                2.49e+10
     HD 134606 f             100              9881                  0                 19            1.14e+12              1.13e+14                2.17e+11
     HD 136352 b             101              9881                  0                 18            3.36e+11              3.29e+13                5.99e+10
     HD 136352 c             145              9839                  0                 16            1.54e+12              1.04e+14                1.70e+11
     HD 136352 d             126              9858                  0                 16            8.15e+12              6.38e+14                1.03e+12
     HD 160691 b             908              9091                  0                  1            7.32e+14              7.32e+15                8.06e+11
     HD 160691 c             921              9079                  0                  0            5.73e+15              5.65e+16                0.00e+00
     HD 160691 d             120              9865                  0                 15            3.89e+11              3.20e+13                4.87e+10
     HD 160691 e             765              9231                  0                  4            2.52e+14              3.05e+15                1.32e+12
     HD 164922 b             453              9535                  0                 12            7.57e+14              1.59e+16                2.00e+13
     HD 164922 c             150              9833                  0                 17            6.25e+12              4.09e+14                7.08e+11
     HD 164922 d              93              9888                  0                 19            3.53e+11              3.76e+13                7.22e+10
     HD 164922 e             136              9843                  0                 21            2.56e+12              1.85e+14                3.95e+11
     HD 191939 b             142              9843                  0                 15            3.29e+11              2.28e+13                3.47e+10
